start	end	HP1	BRM	MRG15	PC	H1
2348243	2348389	0	0	0	0	1
2348485	2348557	0	0	0	0	1
2348706	2349004	0	0	0	1	1
2349008	2349294	0	0	0	1	1
2349291	2349556	0	0	0	1	1
2349553	2350146	0	0	0	1	1
2350312	2350534	0	0	0	1	1
2350553	2351774	0	0	0	1	1
2351816	2352583	0	0	0	1	1
2352580	2352992	0	0	0	1	1
2352989	2353274	0	0	0	1	1
2353271	2353884	0	0	0	1	1
2353881	2354019	0	0	0	1	1
2354016	2354993	0	0	0	1	1
2354990	2355265	0	0	0	1	1
2355267	2355754	0	0	0	1	1
2355793	2356106	0	1	0	1	1
2356103	2356675	0	1	0	1	1
2356814	2356956	0	1	0	1	1
2356953	2357446	0	1	0	1	1
2357443	2357932	0	0	0	1	1
2357929	2358301	0	0	0	1	1
2358335	2358669	0	0	0	1	1
2358721	2358977	0	0	0	1	1
2358986	2359089	0	0	0	1	1
2359140	2359425	0	0	0	1	1
2359652	2359711	0	0	0	1	1
2359708	2360543	0	0	0	1	1
2360627	2360901	0	0	0	1	1
2361057	2361535	0	0	0	1	1
2361624	2361750	0	0	0	1	1
2361866	2362630	0	0	0	1	1
2362627	2362867	0	0	0	1	1
2362910	2363238	0	0	0	1	1
2363478	2363693	0	0	0	1	1
2363690	2364269	0	0	0	1	1
2364430	2364672	0	0	0	1	1
2364669	2364987	0	0	0	1	1
2365217	2365646	0	0	0	1	1
2365901	2365991	0	0	0	1	1
2365988	2366434	0	0	0	1	1
2366431	2366802	0	0	0	1	1
2366823	2366869	0	0	0	1	1
2366866	2367283	0	0	0	1	1
2367320	2367786	0	0	0	1	1
2368041	2368089	0	0	0	1	1
2368221	2368536	0	0	0	1	1
2368541	2368786	0	0	0	1	1
2368914	2369100	0	0	0	1	1
2369097	2369413	0	0	0	1	1
2369410	2369601	0	0	0	1	1
2369698	2369979	0	0	0	1	1
2369976	2370174	0	0	0	1	1
2370375	2370656	0	0	0	1	1
2370696	2370897	0	0	0	1	1
2370894	2371098	0	0	0	1	1
2371178	2371377	0	0	0	1	1
2371605	2371672	0	0	0	1	1
2371862	2372258	0	0	0	1	1
2372410	2372580	0	0	0	1	1
2372577	2373457	0	0	0	1	1
2373454	2373956	0	0	0	1	1
2374049	2374410	0	0	0	1	1
2374407	2374882	0	0	0	1	1
2374879	2375138	0	0	0	1	1
2375244	2375254	0	0	0	0	1
2375251	2375889	0	0	0	0	1
2375886	2376151	0	0	0	0	1
2376288	2376515	0	0	0	0	1
2376713	2376793	0	0	0	0	1
2376797	2377192	0	0	0	0	1
2377333	2377380	0	0	0	0	1
2377446	2377665	0	0	0	0	1
2377857	2377944	0	0	0	0	1
2377941	2378462	0	0	0	0	1
2378459	2378716	0	0	0	0	1
2378781	2378949	0	0	0	0	1
2378946	2379902	0	0	0	0	1
2379907	2380071	0	0	0	0	1
2380252	2380498	0	0	0	0	1
2380495	2380964	0	0	0	0	1
2381225	2381284	0	0	0	0	1
2381335	2381818	0	0	0	0	1
2381815	2381936	0	0	0	0	1
2381933	2382206	0	0	0	0	1
2382203	2382539	0	0	0	0	1
2382709	2382809	0	0	0	0	1
2382842	2383247	0	0	0	0	1
2383244	2383457	0	0	0	0	1
2383530	2383850	0	0	0	0	1
2383872	2383929	0	0	0	0	1
2383926	2384618	0	0	0	0	1
2384615	2384863	0	0	0	0	1
2385080	2385199	0	0	0	0	1
2385196	2385549	0	0	0	0	1
2385546	2386059	0	0	0	0	1
2386056	2386392	0	0	0	0	1
2386539	2386691	0	0	0	0	1
2386688	2387165	0	0	0	0	1
2387197	2387668	0	0	0	0	1
2387836	2388101	0	0	0	0	1
2388121	2388261	0	0	0	0	1
2388374	2388479	0	0	0	0	1
2388692	2388911	0	0	0	0	1
2388999	2389109	0	0	0	0	1
2389106	2390306	0	0	0	0	1
2390303	2390576	0	0	0	0	1
2390573	2391037	0	0	0	0	1
2391034	2391340	0	0	0	0	1
2391337	2391530	0	0	0	0	1
2391527	2392215	0	0	0	0	1
2392264	2392368	0	0	0	0	1
2392365	2393872	0	0	0	0	1
2393869	2394410	0	0	0	0	1
2394407	2394497	0	0	0	0	1
2394494	2394824	0	0	0	0	1
2394825	2395501	0	0	0	0	1
2395498	2396945	0	0	0	0	1
2397134	2397467	0	0	0	0	1
2397464	2398854	0	0	0	1	1
2398949	2399578	0	0	0	1	1
2399575	2400722	0	0	0	1	1
2400719	2401365	0	0	0	1	1
2401362	2402299	0	0	0	1	1
2402296	2402720	0	0	0	1	1
2402717	2402888	0	1	0	1	0
2402885	2403183	0	1	0	1	0
2403180	2403603	0	1	0	1	0
2403600	2404460	0	1	0	1	0
2404554	2404956	0	1	0	1	1
2404953	2405670	0	1	0	1	1
2405667	2406410	0	1	0	1	1
2406407	2406630	0	1	0	1	1
2406715	2406910	0	1	0	1	1
2406907	2407734	0	1	0	1	1
2407731	2408898	0	0	0	1	1
2408968	2410143	0	0	0	1	1
2410140	2410412	0	0	0	1	1
2410419	2411147	0	0	0	1	1
2411205	2411382	0	0	0	1	1
2411433	2414937	0	0	0	1	1
2414934	2415368	0	0	0	1	1
2415407	2415741	0	0	0	1	1
2415998	2416180	0	0	0	1	1
2416303	2416553	0	0	0	1	1
2416638	2417754	0	0	0	1	1
2417799	2417850	0	0	0	1	1
2417991	2418834	0	0	0	1	1
2418986	2419295	0	0	0	1	1
2419307	2420280	0	0	0	1	1
2420455	2420852	0	0	0	1	1
2420849	2421374	0	0	0	1	1
2421647	2422343	0	0	0	1	1
2422340	2422843	0	0	0	1	1
2422840	2423349	0	0	0	1	1
2423346	2424049	0	0	0	1	1
2424052	2424487	0	1	0	1	1
2424515	2424894	0	1	0	1	1
2424891	2425094	0	1	0	1	1
2425091	2425400	0	1	0	1	1
2425419	2425897	0	1	0	1	1
2425894	2426482	0	1	0	1	1
2426479	2427594	0	0	0	1	1
2427591	2429652	0	0	0	1	1
2429761	2431681	0	0	0	1	1
2431800	2432100	0	0	0	1	1
2432213	2432346	0	0	0	1	1
2432368	2432618	0	0	0	1	1
2432775	2433168	0	0	0	1	1
2433291	2433496	0	0	0	1	1
2433998	2434206	0	0	0	1	1
2434207	2434431	0	0	0	1	1
2434498	2434759	0	0	0	1	1
2434756	2435385	0	0	0	1	1
2435382	2435806	0	0	0	1	1
2435803	2435844	0	0	0	1	1
2435841	2436236	0	0	0	1	1
2436383	2436494	0	1	0	1	1
2436491	2436911	0	1	0	1	1
2436908	2437261	0	1	0	1	1
2437258	2437925	0	1	0	1	1
2437922	2438016	0	1	0	1	1
2438013	2438313	0	1	0	1	1
2438389	2438574	0	1	0	1	1
2438646	2439045	0	1	0	1	1
2439052	2439218	0	0	0	1	1
2439215	2441482	0	0	0	1	1
2441479	2442838	0	0	0	1	1
2442835	2443098	0	0	0	1	1
2443121	2443500	0	0	0	1	1
2443497	2443735	0	0	0	1	1
2443732	2444328	0	0	0	1	1
2444478	2445439	0	0	0	1	1
2445436	2446097	0	0	0	1	1
2446267	2449183	0	0	0	1	1
2449180	2450667	0	0	0	1	1
2450664	2451081	0	0	0	1	1
2451078	2451842	0	0	0	1	1
2452088	2452752	0	0	0	1	1
2452749	2453151	0	0	0	1	1
2453148	2454112	0	0	0	1	1
2454109	2454305	1	0	0	1	1
2454302	2456004	1	0	0	1	1
2456001	2456280	1	0	0	1	1
2456277	2456645	1	0	0	1	1
2456778	2459494	0	0	0	1	1
2459491	2459653	0	0	0	1	1
2459650	2461271	0	0	0	1	1
2461268	2461362	0	0	0	1	1
2461359	2461650	0	0	0	1	1
2461876	2462759	0	0	0	1	1
2462756	2462922	0	0	0	1	1
2462919	2463586	0	0	0	1	1
2463583	2464271	0	0	0	1	1
2464268	2466067	0	0	0	1	1
2466064	2466281	0	0	0	1	1
2466278	2466619	0	0	0	1	1
2466772	2467852	0	0	0	1	1
2467849	2468092	0	0	0	1	1
2468089	2468937	0	0	0	1	1
2469063	2469491	0	0	0	1	1
2469541	2470068	0	0	0	1	1
2470316	2470365	0	0	0	1	1
2470607	2470732	0	0	0	1	1
2470729	2471397	0	0	0	1	1
2471394	2472026	0	0	0	1	1
2472023	2472430	0	0	0	1	1
2472434	2472746	0	0	0	1	1
2472883	2473187	0	0	0	1	1
2473216	2473336	0	0	0	1	1
2473544	2473854	0	0	0	1	1
2473857	2473999	0	0	0	1	1
2474035	2474468	0	0	0	1	1
2474522	2475094	0	0	0	1	1
2475091	2475336	0	0	0	1	1
2475333	2476580	0	0	0	1	1
2476583	2476984	0	0	1	1	0
2477021	2477594	0	0	1	0	0
2477717	2478897	0	0	1	0	0
2478933	2479151	0	0	1	0	0
2479346	2479771	0	0	1	0	0
2479768	2480703	0	0	1	0	0
2480700	2481035	0	0	1	0	0
2481117	2481154	0	0	1	0	0
2481230	2481479	0	0	1	0	0
2481692	2482070	0	0	1	0	0
2482067	2482617	0	0	1	0	0
2482614	2484040	0	1	0	0	0
2484037	2484532	0	1	0	0	0
2484529	2485872	0	1	0	0	0
2485899	2486451	0	1	0	0	0
2486448	2486639	0	1	0	0	0
2486636	2487213	0	1	0	0	0
2487210	2487644	0	1	0	0	0
2487641	2488008	0	1	0	0	0
2488005	2488711	0	1	0	0	0
2488708	2489406	0	1	0	0	0
2489403	2490074	0	1	0	0	0
2490071	2490365	0	1	1	0	0
2490362	2490694	0	1	1	0	0
2490691	2490802	0	1	1	0	0
2490898	2491575	0	1	1	0	0
2491572	2492250	0	1	1	0	0
2492257	2492344	0	1	1	0	0
2492413	2492776	0	0	1	0	0
2492841	2492869	0	0	1	0	0
2492866	2493485	0	0	1	0	0
2493558	2494059	0	0	1	0	0
2494056	2494427	0	0	1	0	0
2494613	2494946	0	0	1	0	0
2494943	2494973	0	0	1	0	0
2495171	2495583	0	0	1	0	0
2495822	2496113	0	0	1	0	0
2496110	2496203	0	0	1	0	0
2496282	2496458	0	0	1	0	0
2496687	2496743	0	0	1	0	0
2497000	2497062	0	0	1	0	0
2497067	2497445	0	0	1	0	0
2497616	2497753	0	0	1	0	0
2497859	2497973	0	0	1	0	0
2498135	2498318	0	0	1	0	0
2498315	2498665	0	0	1	0	0
2498701	2498945	0	0	1	0	0
2499112	2499280	0	0	1	0	0
2499326	2499488	0	0	1	0	0
2499667	2499816	0	0	1	0	0
2499813	2500308	0	0	1	0	0
2500305	2500433	0	0	1	0	0
2500430	2500652	0	0	1	0	0
2500921	2501230	0	0	1	0	0
2501234	2501614	0	0	1	0	0
2501752	2502116	0	0	1	0	0
2502113	2502216	0	0	1	0	0
2502286	2502581	0	0	1	0	0
2502669	2502784	0	0	1	0	0
2502936	2503352	0	0	1	0	0
2503349	2503445	0	0	1	0	0
2503606	2503876	0	0	1	0	0
2503885	2503934	0	0	1	0	0
2504195	2504505	0	0	1	0	0
2511301	2512208	0	0	1	0	0
2512338	2512468	0	0	1	0	0
2512465	2512637	0	0	1	0	0
2512634	2512986	0	0	1	0	0
2513005	2513279	0	0	1	0	0
2513426	2514093	0	0	1	0	0
2514105	2514238	0	0	1	0	0
2514379	2514448	0	0	1	0	0
2514445	2514960	0	0	1	0	0
2514957	2515101	0	0	1	0	0
2515251	2515991	0	0	1	0	0
2515988	2516268	0	0	1	0	0
2516419	2516654	0	0	1	0	0
2516729	2516954	0	0	1	0	0
2517077	2517232	0	0	1	0	0
2517358	2518080	0	0	1	0	0
2518333	2518384	0	0	1	0	0
2518519	2519991	0	0	1	0	0
2520119	2520148	0	0	1	0	1
2520145	2520436	0	0	1	0	1
2520433	2520841	0	0	1	0	1
2520989	2521060	1	0	1	0	1
2521057	2521572	1	0	1	0	1
2521569	2521773	1	0	1	0	1
2521874	2521957	1	0	1	0	1
2522161	2522302	1	0	1	0	1
2522327	2522631	1	0	1	0	1
2522739	2522876	1	0	1	0	1
