BinStart	BinEnd	value
7001	7100	1
29001	29100	1
30601	30700	1
34301	34400	1
39701	39800	1
43101	43200	1
58101	58200	1
72401	72500	1
104801	104900	1
123401	123500	1
155001	155100	1
158501	158600	1
163101	163200	1
173401	173500	1
178501	178600	1
190101	190200	1
208501	208600	1
227801	227900	1
229901	230000	1
239801	239900	1
251101	251200	1
324801	324900	1
329001	329100	1
337801	337900	1
356201	356300	1
383101	383200	1
419701	419800	1
430901	431000	1
461101	461200	1
476701	476800	1
482901	483000	1
487901	488000	1
503401	503500	1
515901	516000	1
520901	521000	1
575201	575300	1
599801	599900	1
608601	608700	1
645601	645700	1
654801	654900	1
670001	670100	1
725101	725200	1
742301	742400	1
748701	748800	1
782901	783000	1
783701	783800	1
785201	785300	1
788201	788300	1
373301	373400	1
751201	751300	1
136801	136900	1
