start	end	HP1	BRM	MRG15	PC	H1
11803883	11804127	0	0	0	0	1
11804399	11804609	0	0	0	0	1
11804700	11804802	0	0	0	0	1
11805036	11805172	0	0	0	0	1
11805275	11805405	0	0	0	0	1
11805450	11805833	0	0	0	0	1
11805863	11806257	0	0	0	0	1
11806254	11806740	0	0	0	0	1
11806737	11807591	0	0	0	0	1
11807588	11808209	0	0	0	0	1
11808206	11809113	0	0	0	0	1
11809110	11810059	0	0	0	0	1
11810056	11810278	0	0	0	0	1
11810379	11810716	0	0	0	0	1
11810722	11811217	0	0	0	0	1
11811214	11811318	0	0	0	0	1
11811493	11811713	0	0	0	0	1
11811710	11812783	0	0	0	0	1
11813028	11813704	0	0	0	0	1
11814602	11814644	0	0	0	0	1
11814641	11815373	0	0	0	0	1
11815470	11815843	0	0	0	0	1
11815914	11816199	0	0	0	0	1
11816404	11816704	0	0	0	0	1
11816701	11816723	0	0	0	0	1
11816963	11818258	0	0	0	0	1
11818389	11819029	0	0	0	0	1
11819026	11819351	0	0	0	0	1
11819423	11819731	0	0	0	0	1
11819906	11820147	0	0	0	0	1
11820205	11820596	0	0	0	0	1
11820593	11820763	0	0	0	0	1
11820867	11820988	0	0	0	0	1
11821169	11821502	0	0	0	0	1
11821499	11821551	0	0	0	0	1
11821609	11821953	0	0	0	0	1
11821950	11822200	0	0	0	0	1
11822352	11822636	0	0	0	0	1
11822633	11822762	0	0	0	0	1
11822943	11823381	0	0	0	0	1
11823461	11823762	0	0	0	0	1
11823759	11824478	0	0	0	0	1
11824505	11824604	0	0	0	0	1
11824601	11824983	0	0	0	0	1
11824980	11825186	0	0	0	0	1
11825183	11825788	0	0	0	0	1
11825785	11826168	0	0	0	0	1
11826249	11826363	0	0	0	0	1
11826360	11826896	0	0	0	0	1
11826893	11827052	0	0	0	0	1
11827049	11827555	0	0	0	0	1
11827552	11828198	0	0	0	0	1
11828429	11828883	0	0	0	0	1
11828993	11829179	0	0	0	0	1
11829279	11829363	0	0	0	0	1
11829360	11829656	0	0	0	0	1
11829849	11829987	0	0	0	0	1
11830058	11830322	0	0	0	0	1
11830475	11830711	0	0	0	0	1
11830708	11831667	0	0	0	0	1
11831664	11832522	0	0	0	0	1
11832788	11833022	0	0	0	0	1
11833025	11833234	0	0	0	0	1
11833485	11833548	0	0	0	0	1
11833630	11833868	0	0	0	0	1
11833966	11834988	0	0	0	0	1
11834985	11835750	0	0	0	0	1
11835763	11835991	0	0	0	0	1
11835988	11836358	0	0	0	0	1
11836398	11836569	0	0	0	0	1
11836566	11837220	0	0	0	0	1
11837353	11837522	0	0	0	0	1
11837666	11837745	0	0	0	0	1
