start	end	HP1	BRM	MRG15	PC	H1
3129889	3130370	0	0	0	0	1
3130367	3131381	0	0	1	0	1
3131446	3131884	0	0	1	0	1
3131891	3132590	0	0	1	0	1
3132587	3132888	0	0	1	0	0
3132885	3134418	0	1	0	0	0
3134426	3134633	1	1	0	0	0
3134630	3135178	1	1	0	0	0
3135368	3135447	1	1	0	0	0
3135444	3135841	1	1	0	0	0
3136001	3136506	0	1	0	0	0
3136503	3136991	0	1	0	0	0
3137222	3138257	0	1	0	0	0
3138254	3138522	0	1	0	0	0
3138705	3138931	0	1	0	0	0
3138986	3139207	0	1	0	0	0
3139204	3139432	0	1	0	0	0
3139492	3139713	0	1	0	0	0
3139710	3140115	0	1	0	0	0
3140112	3141281	0	1	0	0	0
3141278	3142078	0	1	0	0	0
3142075	3142613	0	1	0	0	0
3142617	3142661	0	1	0	0	0
3142658	3143208	0	1	0	0	0
3143205	3143487	0	1	0	0	0
3143484	3143609	0	1	0	0	0
3143606	3144323	0	1	0	0	0
3144343	3145234	0	1	0	0	1
3145231	3145679	0	1	0	0	1
3145683	3145945	0	0	0	0	1
3146170	3146345	0	0	0	0	1
3146516	3146664	0	0	0	0	1
3146661	3147006	0	0	0	0	1
3147132	3147182	0	0	0	0	1
3147282	3147605	0	0	0	0	1
3147602	3147749	0	0	0	0	1
3148008	3148074	0	0	0	0	1
3148368	3148424	0	0	0	0	1
3148626	3149114	0	0	0	0	1
3149242	3149354	0	0	0	0	1
3149493	3149866	0	0	0	0	1
3156775	3157459	0	0	0	0	1
3157456	3157890	0	0	0	0	1
3157887	3158023	0	0	0	0	1
3158020	3158321	0	0	0	0	1
3158318	3159703	0	0	0	0	1
3159700	3159851	0	0	0	0	1
3159848	3160421	0	0	1	0	1
3160547	3160703	0	0	1	0	1
3160921	3161097	0	0	1	0	1
3161094	3161709	0	0	1	0	0
3161706	3163142	0	0	1	0	0
3163139	3163353	0	0	1	0	0
3163640	3164215	0	0	1	0	0
3164229	3165074	0	0	1	0	0
3165141	3165391	0	0	1	0	0
3165414	3165464	0	0	1	0	0
3165461	3166315	0	0	1	0	0
3166312	3166531	0	0	1	0	0
3166528	3167353	0	0	1	0	0
3167376	3167829	0	0	1	0	0
3167826	3167992	0	0	1	0	0
3167989	3168657	0	0	1	0	0
3168654	3168918	0	0	1	0	1
3169036	3169338	0	0	1	0	1
3169335	3169516	0	0	1	0	1
3169513	3169787	0	0	1	0	1
3169784	3171037	0	0	0	0	1
3171034	3171362	0	0	0	0	1
3171359	3171968	0	0	0	0	1
3172048	3172063	0	0	0	0	1
3172060	3173225	0	0	0	0	1
3173222	3173711	0	0	0	0	1
3173708	3174534	0	0	0	0	1
3174561	3175269	0	0	0	0	1
3175266	3176030	0	0	0	0	1
3176040	3176474	0	0	0	0	1
3176471	3176890	0	0	0	0	1
3177122	3177233	0	0	0	0	1
3177230	3178389	0	0	0	0	1
3178619	3178780	0	0	0	0	1
3178777	3179053	0	0	0	0	1
3179175	3179754	0	0	0	0	1
3179751	3179938	0	0	0	0	1
3179946	3181106	0	0	0	0	1
3181148	3182073	0	0	0	0	1
3182219	3182441	0	0	0	0	1
3182438	3182750	0	0	0	0	1
3182836	3183229	0	0	0	0	1
3183426	3183553	0	0	0	0	1
3183696	3184008	0	0	0	0	1
3184005	3184090	0	0	0	0	1
3184294	3184447	0	0	0	0	1
3184444	3184729	0	0	0	0	1
3184746	3185035	0	0	0	0	1
3185220	3185313	0	0	0	0	1
3185432	3185728	0	0	0	0	1
3185821	3185927	0	0	0	0	1
3185924	3186218	0	0	0	1	1
3186469	3186577	0	0	0	1	1
3186574	3186807	0	0	0	1	1
3186804	3187485	0	0	0	1	1
3187482	3187760	0	0	0	1	1
3187757	3187961	0	0	0	1	1
3188267	3188758	0	0	0	1	1
3188817	3189231	0	0	0	1	1
3189228	3189930	0	0	0	1	1
3189927	3190176	0	0	0	1	1
3190173	3190666	0	0	0	1	1
3190663	3192136	0	0	0	1	1
3192133	3192206	0	0	0	1	1
3192203	3192724	0	0	0	1	1
3192721	3192922	0	0	0	1	1
3192970	3193343	0	0	0	1	1
3193340	3193836	0	0	0	1	1
3193939	3194102	0	0	0	1	1
3194099	3194820	0	0	0	0	1
3194817	3195343	0	0	0	0	1
3195340	3196174	0	0	0	0	1
3196280	3196449	0	0	0	0	1
3196538	3196807	0	0	0	0	1
3196814	3197267	0	0	0	0	1
3197264	3197287	0	0	0	0	1
3197472	3198069	0	0	0	0	1
3198066	3198995	0	0	0	0	1
3198992	3199314	0	0	0	0	1
3199311	3199652	0	0	0	0	1
3199649	3199722	0	0	0	0	1
3199719	3199974	0	0	0	0	1
3200263	3200326	0	0	0	0	1
3200341	3200598	0	0	0	0	1
3200863	3201344	0	0	0	0	1
3201341	3202813	0	0	0	0	1
3202810	3204297	0	0	0	0	1
3204294	3205076	0	0	0	0	1
3205545	3205885	0	0	0	0	1
3205882	3206807	0	0	0	0	1
3206821	3206936	0	0	0	0	1
3207113	3207273	0	0	0	0	1
3207270	3207802	0	0	0	0	1
3207805	3208071	0	0	0	0	1
3208068	3208374	0	0	0	0	1
3208435	3208699	0	0	0	0	1
3208895	3209083	0	0	0	0	1
3209142	3209321	0	0	0	0	1
3209380	3209562	0	0	0	0	1
3209839	3209881	0	0	0	0	1
3210114	3210199	0	0	0	0	1
3210392	3210559	0	0	0	0	1
3210648	3211072	0	0	0	0	1
3211218	3211883	0	0	0	0	1
3211880	3212005	0	0	0	0	1
3212119	3212361	0	0	0	0	1
3212358	3212669	0	0	0	0	1
3212673	3213003	0	0	0	0	1
3213000	3213570	0	0	0	0	1
3213567	3213783	0	0	0	0	1
3213842	3214240	0	0	0	0	1
3214425	3214778	0	0	0	0	1
3214815	3215315	0	0	0	0	1
3215392	3216093	0	0	0	0	1
3216090	3216625	0	0	0	0	1
