start	end	HP1	BRM	MRG15	PC	H1
9516384	9516776	0	0	1	0	1
9516801	9517566	0	0	1	0	1
9517755	9518006	0	0	1	0	1
9518003	9518155	0	0	1	0	1
9518381	9518517	0	0	1	0	1
9518686	9518776	0	0	1	0	1
9518773	9519206	0	0	1	0	1
9519203	9519559	0	0	1	0	1
9519556	9520778	0	0	0	0	0
9520775	9521085	0	0	0	0	0
9521082	9521415	0	0	0	0	0
9521412	9522769	0	1	0	0	0
9522766	9522974	0	1	0	1	1
9522971	9523806	0	1	0	1	1
9523803	9524867	0	1	0	1	1
9524864	9525754	0	1	0	1	1
9525777	9526095	0	1	0	1	1
9526092	9526911	0	1	0	1	1
9527122	9527430	0	1	0	1	1
9527600	9527890	0	1	0	1	1
9528017	9529904	0	1	0	1	1
9530036	9530361	0	1	0	1	1
9530358	9530564	0	1	0	1	1
9530561	9530947	0	1	0	1	1
9530944	9531134	0	1	0	1	1
9531204	9531505	0	0	0	1	1
9531502	9531783	0	0	0	1	1
9531870	9533533	0	0	0	1	1
9533530	9534660	0	0	0	1	1
9534657	9534859	0	0	0	0	1
9534856	9534972	0	0	0	0	1
9535226	9535328	0	0	0	0	1
9535520	9535572	0	0	0	0	1
9535764	9535907	0	0	0	0	1
9535983	9536374	0	0	0	0	1
9536371	9536464	0	0	0	0	1
9536667	9537129	0	0	0	0	1
9537137	9537511	0	0	0	0	1
9537521	9537680	0	0	0	0	1
9537926	9538344	0	0	0	0	1
9538341	9538579	0	0	0	0	1
9538592	9539002	0	0	0	0	1
9539050	9539574	0	0	0	0	1
9539571	9539897	0	0	0	0	1
9539894	9540473	0	0	0	0	1
9540470	9540865	0	0	0	0	1
9540893	9541046	0	0	0	0	1
9541093	9541689	0	0	0	0	1
9541851	9542104	0	0	0	0	1
9542117	9542344	0	0	0	0	1
9542341	9542735	0	0	0	0	1
9542887	9543140	0	0	0	0	1
9543257	9543352	0	0	0	0	1
9543482	9543788	0	0	0	0	1
9543785	9544457	0	0	0	0	1
9544454	9544568	0	0	0	0	1
9544718	9544846	0	0	0	0	1
9544843	9545297	0	0	0	0	1
9545364	9545865	0	0	0	0	1
9545899	9546349	0	0	0	0	1
9546346	9546382	0	0	0	0	1
9546379	9546936	0	0	0	0	1
