start	end	HP1	BRM	MRG15	PC	H1
200679	201486	0	1	0	1	1
201483	201866	0	1	0	1	1
201869	202159	0	0	0	1	1
202156	202664	0	0	0	1	1
202810	203010	0	0	0	1	1
203007	203444	0	0	0	1	1
203455	204047	0	0	0	1	1
204044	204114	0	0	0	1	1
204167	205223	0	1	0	0	0
205220	205373	0	1	0	0	0
205370	206307	0	1	1	0	0
206304	206488	0	1	1	0	0
206485	207155	0	1	1	0	0
207152	207401	0	0	1	0	0
207517	207749	0	0	1	0	0
207783	208190	0	0	1	0	0
208187	208361	0	0	1	0	0
208407	208633	0	0	1	0	0
208663	208990	1	0	1	0	0
209108	209284	1	0	1	0	0
209281	209598	1	0	1	0	0
209595	211042	1	0	1	0	0
211227	211356	1	0	1	0	0
211458	212504	1	0	1	0	0
212501	212932	1	0	1	0	0
212971	213831	1	0	1	0	0
213828	213993	1	0	1	0	0
213990	214585	1	0	1	0	0
214663	215448	1	0	1	0	0
215445	215939	1	0	1	0	0
215936	216204	0	0	1	0	0
216201	216531	0	0	1	0	0
216567	217141	0	0	1	0	0
217163	217280	0	0	1	0	0
217277	217640	0	0	1	0	0
217827	218491	0	0	1	0	0
218488	219195	0	0	1	0	0
219223	219572	0	0	1	0	0
219581	219650	0	0	1	0	0
219832	220968	0	0	1	0	0
220965	221146	0	0	1	0	0
221376	221660	0	0	1	0	0
221657	222410	0	0	1	0	0
222407	222736	0	0	1	0	0
222733	223056	0	0	1	0	0
223158	223274	0	0	1	0	0
223271	223616	0	0	1	0	0
223613	223978	0	0	1	0	0
223975	224442	0	0	1	0	0
224693	224864	0	0	1	0	0
224861	225213	0	0	1	0	0
225210	226312	0	0	1	0	0
226309	226555	0	0	1	0	0
226822	227023	1	0	1	0	0
227020	227145	1	0	1	0	0
227142	227875	1	0	1	0	0
227914	228545	1	0	1	0	0
228644	230035	0	0	1	0	0
230032	230246	0	0	1	0	0
230443	230722	0	0	1	0	0
230719	231335	0	0	1	0	0
231332	231371	0	0	1	0	0
231368	231684	0	0	1	0	0
231815	232495	0	0	1	0	0
232492	233236	0	0	1	0	1
233233	233482	0	0	1	0	1
233696	233772	0	0	0	0	1
233853	234106	0	0	0	0	1
237900	238564	0	0	0	0	1
238824	239950	0	0	0	1	1
240003	240060	0	0	0	1	1
240212	240884	0	0	0	1	1
240881	240974	0	0	0	1	1
241188	241437	0	0	0	1	1
241434	241541	0	0	0	1	1
241825	242086	0	0	0	1	1
242083	242347	0	0	0	1	1
242398	242530	0	0	0	0	1
242642	243027	0	0	0	0	1
243024	243129	0	0	0	0	1
243126	243621	0	0	0	0	1
243618	245405	0	0	0	0	1
245402	245684	0	0	0	0	1
245731	246044	0	0	0	0	1
246041	246672	0	0	1	0	1
246669	248108	0	0	1	0	1
248105	248850	0	0	1	0	1
248847	249803	0	0	1	0	1
249929	249991	0	0	1	0	1
250183	250349	0	0	1	0	1
250388	250745	0	0	1	0	1
250742	250910	0	0	1	0	1
250907	251587	0	0	1	0	0
251603	252252	0	0	1	0	0
252249	252468	0	0	1	0	0
252465	252908	0	0	1	0	0
252905	253470	0	0	1	0	0
253467	253661	0	0	1	0	0
253658	254725	0	0	1	0	0
254722	254913	0	0	1	0	0
254916	255083	0	0	1	0	0
255080	255968	0	0	1	0	0
256235	256518	0	0	1	0	0
256515	256603	0	0	1	0	0
256709	257310	0	0	1	0	0
257307	257595	0	0	1	0	0
257634	257760	0	0	1	0	0
257985	258704	0	0	1	0	0
258701	259477	0	0	1	0	0
259474	260152	0	0	1	0	0
260158	260234	0	0	1	0	0
260231	260577	0	0	1	0	0
260719	260796	0	0	1	0	0
260908	261091	0	0	1	0	0
261169	261360	0	0	1	0	0
261615	261775	0	0	1	0	0
261772	262319	0	0	1	0	0
262386	262572	0	0	1	0	0
262897	263508	0	0	1	0	0
263505	265578	0	0	1	0	0
265715	266367	0	0	1	0	0
266364	267367	0	0	1	0	1
267449	268705	0	0	1	0	1
268702	269565	0	0	1	0	1
269562	269765	0	0	1	0	1
269762	270194	0	0	1	0	1
270214	270676	0	0	1	0	1
270673	271692	0	0	1	0	1
271826	272712	0	1	0	0	1
272709	273278	0	1	0	0	1
273275	273616	0	1	0	1	1
273613	273894	0	1	0	1	1
273891	276165	0	1	0	1	1
276179	277031	0	1	0	1	1
277163	277755	0	1	0	1	1
277752	277905	0	1	0	1	1
278073	280925	0	0	0	1	1
280922	281579	0	0	0	1	1
281667	281822	0	0	0	1	1
281995	282554	0	0	0	1	1
282551	283215	0	0	0	1	1
283212	283260	0	0	0	1	1
283493	283781	0	0	0	1	1
283778	284228	0	0	0	1	1
284225	284924	0	0	0	1	1
284977	285237	0	0	0	1	1
285234	285759	0	0	0	1	1
285756	286310	0	0	0	1	1
286332	287046	0	0	0	1	1
287043	287208	0	0	0	1	1
287219	287491	0	0	0	1	1
287676	288067	0	0	0	1	0
288193	288568	0	0	0	0	0
288624	288655	0	0	0	0	1
289125	289881	0	0	0	0	1
289905	290265	0	0	0	0	1
290277	291522	0	0	1	0	1
291554	292812	0	0	1	0	1
292809	293214	0	0	1	0	1
293420	293529	0	0	1	0	1
293526	293948	0	0	1	0	1
293994	294127	0	0	1	0	1
294291	294622	0	0	1	0	1
294619	294817	0	0	1	0	1
294819	295180	0	0	1	0	1
295177	295796	0	0	1	0	1
295793	296388	0	0	1	0	1
