BinStart BinEnd POD TAP191 TF14 TF160 TF162 TF185 TF186 TF23 TF29 TF39 TF5HS TF5 TF7 TF9
1 1000 0 1 1 0 0 1 1 0 0 0 0 0 0 0
1001 2000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2001 3000 1 1 1 0 0 0 0 0 0 0 0 0 0 0
3001 4000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
4001 5000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
5001 6000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
6001 7000 1 0 0 0 0 0 0 0 0 0 0 0 0 1
7001 8000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
8001 9000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
9001 10000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
10001 11000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11001 12000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
12001 13000 0 1 1 0 0 1 0 0 0 0 0 0 0 0
13001 14000 0 1 0 0 0 1 0 0 0 0 0 0 0 0
14001 15000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15001 16000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
16001 17000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17001 18000 0 1 0 0 0 0 0 0 0 0 0 0 0 0
18001 19000 1 0 0 0 0 0 0 0 0 0 0 0 0 1
19001 20000 1 1 1 1 0 0 0 0 1 1 0 0 1 0
20001 21000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
21001 22000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
22001 23000 0 1 0 0 0 0 0 0 0 0 0 0 0 0
23001 24000 1 1 1 1 0 0 0 0 1 1 0 0 0 0
24001 25000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25001 26000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26001 27000 0 0 1 0 0 0 0 0 0 0 0 0 0 0
27001 28000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
28001 29000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
29001 30000 0 1 0 0 0 0 0 0 0 0 0 0 0 1
30001 31000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
31001 32000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32001 33000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
33001 34000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
34001 35000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
35001 36000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
36001 37000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
37001 38000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
38001 39000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
39001 40000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
40001 41000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
41001 42000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
42001 43000 0 0 1 0 0 0 0 0 0 0 0 0 0 0
43001 44000 1 1 1 1 0 0 0 0 1 1 0 0 0 1
44001 45000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
45001 46000 0 1 0 0 0 0 0 0 0 0 0 0 0 0
46001 47000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
47001 48000 1 1 0 0 0 1 0 0 0 0 0 0 0 0
48001 49000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
49001 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
50001 51000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
51001 52000 0 0 0 0 0 1 0 0 0 0 0 0 0 0
52001 53000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
53001 54000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
54001 55000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
55001 56000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
56001 57000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
57001 58000 0 1 1 1 0 0 0 0 0 1 0 0 0 0
58001 59000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
59001 60000 0 0 1 0 0 0 0 0 0 0 0 0 0 0
60001 61000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
61001 62000 0 0 0 0 0 1 0 0 0 0 0 0 0 0
62001 63000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
63001 64000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
64001 65000 0 1 1 0 0 0 0 0 1 0 0 0 0 0
65001 66000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
66001 67000 1 1 1 1 0 0 0 0 0 0 0 0 0 1
67001 68000 0 1 0 0 0 1 0 0 0 0 0 0 0 0
68001 69000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
69001 70000 0 1 0 0 1 1 0 0 0 0 0 0 0 0
70001 71000 0 1 1 0 0 1 0 0 0 0 0 0 0 0
71001 72000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
72001 73000 1 0 0 0 0 0 0 0 0 0 0 0 0 1
73001 74000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
74001 75000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
75001 76000 1 1 0 0 0 0 0 0 0 0 0 0 0 0
76001 77000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
77001 78000 0 1 0 0 0 0 0 0 0 0 0 0 0 0
78001 79000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
79001 80000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
80001 81000 0 0 0 0 0 0 0 0 0 0 0 0 0 1
81001 82000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
82001 83000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
83001 84000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
84001 85000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
85001 86000 1 1 1 1 0 0 0 0 1 1 0 0 1 0
86001 87000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
87001 88000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
88001 89000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
89001 90000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
90001 91000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
91001 92000 0 1 0 0 0 0 0 0 0 0 0 0 0 0
92001 93000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
93001 94000 1 1 1 1 0 0 0 0 0 0 0 0 0 0
94001 95000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
95001 96000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
96001 97000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
97001 98000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
98001 99000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
99001 1e+05 0 0 0 0 0 0 0 0 0 0 0 0 0 0
100001 101000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
101001 102000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
102001 103000 1 0 0 0 0 0 0 0 0 0 0 0 0 0
103001 104000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
104001 105000 0 1 0 0 0 0 0 0 0 0 0 0 0 1
105001 106000 0 1 1 1 0 0 0 0 0 1 0 0 0 0
106001 107000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
107001 108000 0 1 0 0 0 1 0 0 0 0 0 0 0 0
108001 109000 0 1 1 1 0 1 1 0 0 1 0 0 0 0
109001 110000 0 0 0 0 0 0 0 0 0 0 0 0 0 0
110001 111000 0 1 1 0 0 0 0 0 0 0 0 0 0 0
111001 112000 0 1 0 0 0 1 0 0 0 0 0 0 0 0
112001 113000 0 1 0 0 0 0 0 0 0 0 0 0 0 0
