start	end	HP1	BRM	MRG15	PC	H1
3874187	3874486	0	0	0	0	1
3874483	3875069	0	0	0	0	1
3875066	3875892	0	0	0	0	1
3875889	3878693	0	0	0	0	1
3878690	3878928	0	0	0	0	1
3878925	3879118	0	0	0	0	1
3879115	3879728	0	0	0	0	1
3879725	3880895	0	0	0	0	1
3881047	3882638	0	0	0	0	1
3882641	3885904	0	0	0	0	1
3885906	3887275	0	0	0	0	1
3887323	3887476	0	0	0	0	1
3887605	3888810	0	0	0	0	1
3889192	3889728	0	0	0	0	1
3889725	3891184	0	0	0	0	1
3891187	3892637	0	0	0	0	1
3892787	3893326	0	0	0	0	1
3893375	3893699	0	0	0	0	1
3893696	3894321	0	0	0	0	1
3894318	3894393	0	0	0	0	1
3894390	3894677	0	0	0	0	1
3894817	3897690	0	0	0	0	1
3897687	3897971	0	0	0	0	1
3898133	3898355	0	0	0	0	1
3898352	3901467	0	0	0	0	1
3901464	3902511	0	0	0	0	1
3902508	3903180	0	0	0	0	1
3903330	3906301	0	0	0	0	1
3906298	3906946	0	0	0	0	1
3906943	3907452	0	0	0	0	1
3907449	3909136	0	0	0	0	1
3909133	3909594	0	0	0	0	1
3909591	3911292	0	0	0	0	1
3911289	3912278	0	0	0	0	1
3912275	3912459	0	0	0	0	1
3912571	3912998	0	0	0	0	1
3913205	3913265	0	0	0	0	1
3913341	3913558	0	0	0	0	1
3913555	3913853	0	0	0	0	1
3914112	3914231	0	0	0	0	1
3914228	3916716	0	0	0	0	1
3916828	3917063	0	0	0	0	1
3917060	3917186	0	0	0	0	1
3917248	3917604	0	0	0	0	1
3917668	3917929	0	0	0	0	1
3917926	3918055	0	0	0	0	1
3918327	3918595	0	0	0	0	1
3918592	3918644	0	0	0	0	1
3918860	3919338	0	0	0	0	1
3919335	3919744	0	0	0	0	1
3919741	3920125	0	0	0	0	1
3920122	3920734	0	0	0	0	1
3920731	3922542	0	0	0	0	1
3922539	3923289	0	0	0	0	1
3923286	3927632	0	0	0	0	1
3927629	3928941	0	0	0	0	1
3928938	3929450	0	0	0	0	1
3929447	3929788	0	0	0	0	1
3929785	3930499	0	0	0	0	1
3930496	3931016	0	0	0	0	1
3931013	3931335	0	0	0	0	1
3931332	3932935	0	0	0	0	1
3932932	3933136	0	0	0	0	1
3933133	3934078	0	0	0	0	1
3934075	3934724	0	0	0	0	1
3934721	3935324	0	0	0	0	1
3935321	3935514	0	0	0	0	1
3935647	3936061	0	0	0	0	1
3936058	3936550	0	0	0	0	1
3936547	3937286	0	0	0	0	1
3937366	3940403	0	0	0	0	1
3940479	3941688	0	0	0	0	1
3941685	3942573	0	0	0	0	1
3942570	3944221	0	0	0	0	1
3944218	3944778	0	0	0	0	1
3944775	3945418	0	0	0	0	1
3945415	3946069	0	0	0	0	1
3946066	3946632	0	0	0	0	1
3946669	3947485	0	0	0	0	1
3947482	3948525	0	0	0	0	1
3948522	3948915	0	0	0	0	1
3948912	3949180	0	0	0	0	1
3949177	3950182	0	0	0	0	1
3950179	3951596	0	0	0	0	1
3951593	3952032	0	0	0	0	1
3952029	3952359	0	0	0	0	1
3952419	3953193	0	0	0	0	1
3953190	3953442	0	0	0	0	1
3953439	3954025	0	0	0	0	1
3954022	3954056	0	0	0	0	1
3954053	3956513	0	0	0	0	1
3956510	3957280	0	0	0	0	1
3957277	3957437	0	0	0	0	1
3957440	3959343	0	0	0	0	1
3959340	3959826	0	0	0	0	1
3959823	3962909	0	0	0	0	1
3962906	3963526	0	0	0	0	1
3963523	3966429	0	0	0	0	1
3966426	3968368	0	0	0	0	1
3968365	3968907	0	0	0	0	1
3968904	3970199	0	0	0	0	1
3970196	3972210	0	0	0	0	1
3972207	3973272	0	0	0	0	1
3973504	3973643	0	0	0	0	1
3973640	3974351	0	0	0	0	1
3974348	3975001	0	0	0	0	1
3974998	3975401	0	0	0	0	1
3975398	3975985	0	0	0	0	1
3975982	3977094	0	0	0	0	1
3977091	3977641	0	0	0	0	1
3977638	3977945	0	0	0	0	1
3977942	3978520	0	0	0	0	1
3978517	3981292	0	0	0	0	1
3981289	3982246	0	0	0	0	1
3982250	3983384	0	0	0	0	1
3983381	3984068	0	0	0	0	1
3984065	3984701	0	0	0	0	1
3984698	3985139	0	0	0	0	1
3985136	3985381	0	0	0	0	1
3985378	3985957	0	0	0	0	1
3985954	3988478	0	0	0	0	1
3988475	3992053	0	0	0	0	1
3992050	3993246	0	0	0	0	1
3993243	3998153	0	0	0	0	1
3998150	3998491	0	0	0	0	1
3998646	3999835	0	0	0	0	1
3999832	4001259	0	0	0	0	1
4001256	4002675	0	0	0	0	1
4002672	4003235	0	0	0	0	1
4003232	4003357	0	0	0	0	1
4003354	4004152	0	0	0	0	1
4004394	4004817	0	0	0	0	1
4004814	4005074	0	0	0	0	1
4005071	4006226	0	0	0	0	1
4006223	4007171	0	0	0	0	1
4007168	4007561	0	0	0	0	1
4007558	4008062	0	0	0	0	1
4008059	4008350	0	0	0	0	1
4008562	4008979	0	0	0	0	1
4009069	4010946	0	0	0	0	1
4010943	4011162	0	0	0	0	1
4011159	4011774	0	0	0	0	1
4011859	4012910	0	0	0	0	1
4013083	4013520	0	0	0	0	1
4013517	4015082	0	0	0	0	1
4015079	4016081	0	0	0	0	1
4016078	4016555	0	0	0	0	1
4016552	4018264	0	0	0	0	1
4018327	4020385	0	0	0	0	1
4020382	4020876	0	0	0	0	1
4020873	4021380	0	0	0	0	1
4021377	4022691	0	0	0	0	1
4022688	4022803	0	0	0	0	1
4022975	4023726	0	0	0	0	1
4023858	4025519	0	0	0	0	1
4025516	4026126	0	0	0	0	1
4026217	4027701	0	0	0	0	1
4027698	4029240	0	0	0	0	1
4029237	4029581	0	0	0	0	1
4029578	4030397	0	0	0	0	1
4030394	4030619	0	0	0	0	1
4030616	4031404	0	0	0	0	1
4031401	4031819	0	0	0	0	1
4031826	4033152	0	0	0	0	1
4033149	4034141	0	0	0	0	1
4034436	4036580	0	0	0	0	1
4036664	4037441	0	0	0	0	1
4037444	4037710	0	0	0	0	1
4037707	4038068	0	0	0	0	1
4038065	4039006	0	0	0	0	1
4039003	4039467	0	0	0	0	1
4039464	4039721	0	0	0	0	1
4039749	4043111	0	0	0	0	1
4043108	4043603	0	0	0	0	1
4043600	4044015	0	0	0	0	1
4044012	4044233	0	0	0	0	1
4044230	4044520	0	0	0	0	1
4044517	4044998	0	0	0	0	1
4044995	4045640	0	0	0	0	1
4045731	4045951	0	0	0	0	1
4046051	4046590	0	0	0	0	1
4046587	4047292	0	0	0	0	1
4047289	4049248	0	0	0	0	1
4049245	4049539	0	0	0	0	1
4049536	4050773	0	0	0	0	1
4050770	4051198	0	0	0	0	1
4051195	4051557	0	0	0	0	1
4051788	4055259	0	0	0	0	1
4055256	4062201	0	0	0	0	1
4062198	4062657	0	0	0	0	1
4062654	4063363	0	0	0	0	1
4063360	4064095	0	0	0	0	1
4064092	4066561	0	0	0	0	1
4068578	4071775	0	0	0	0	1
4071772	4072269	0	0	0	0	1
4072311	4074435	0	0	0	0	1
4074479	4075505	0	0	0	0	1
4075502	4077650	0	0	0	0	1
4077647	4079450	0	0	0	0	1
4079447	4079538	0	0	0	0	1
4079672	4079754	0	0	0	0	1
4079887	4082323	0	0	0	0	1
4082320	4083167	0	0	0	0	1
4083164	4083762	0	0	0	0	1
4083759	4083995	0	0	0	0	1
4083992	4084357	0	0	0	0	1
4084354	4086457	0	0	0	0	1
4086454	4087218	0	0	0	0	1
4087215	4088357	0	0	0	0	1
4088354	4088585	0	0	0	0	1
4088582	4090342	0	0	0	0	1
4090339	4091126	0	0	0	0	1
4091123	4091132	0	0	0	0	1
4091129	4091780	0	0	0	0	1
4091777	4092045	0	0	0	0	1
4092042	4092782	0	0	0	0	1
4092920	4093216	0	0	0	0	1
4093213	4093320	0	0	0	0	1
4093317	4094236	0	0	0	0	1
4094233	4095270	0	0	0	0	1
4095267	4095569	0	0	0	0	1
4095566	4095715	0	0	0	0	1
4095712	4096000	0	0	0	0	1
4095997	4098007	0	0	0	0	1
4098004	4098284	0	0	0	0	1
4098281	4098664	0	0	0	0	1
4098842	4098935	0	0	0	0	1
4099216	4099385	0	0	0	0	1
4099382	4099852	0	0	0	0	1
4099849	4100894	0	0	0	0	1
4100912	4101255	0	0	0	0	1
4101335	4103951	0	0	0	0	1
4103948	4105195	0	0	0	0	1
4105192	4106165	0	0	0	0	1
4106162	4107615	0	0	0	0	1
4107612	4107756	0	0	0	0	1
4107822	4108011	0	0	0	0	1
4108008	4109148	0	0	0	0	1
4109553	4110441	0	0	0	0	1
4110438	4113883	0	0	0	0	1
4113880	4113945	0	0	0	0	1
4114080	4114304	0	0	0	0	1
4114391	4114908	0	0	0	0	1
4114905	4115808	0	0	0	0	1
4115805	4117183	0	0	0	0	1
4117180	4119095	0	0	0	0	1
4119092	4119467	0	0	0	0	1
4119464	4119957	0	0	0	0	1
4119954	4120425	0	0	0	0	1
4120422	4120797	0	0	0	0	1
4120794	4120963	0	0	0	0	1
4121049	4121139	0	0	0	0	1
4121281	4121833	0	0	0	0	1
4121937	4122072	0	0	0	0	1
4122249	4122351	0	0	0	0	1
4122448	4122766	0	0	0	0	1
4122822	4123450	0	0	0	0	1
4123447	4123588	0	0	0	0	1
4123813	4123894	0	0	0	0	1
4124124	4124449	0	0	0	0	1
4124446	4124663	0	0	0	0	1
4124660	4126553	0	0	0	0	1
4126550	4127190	0	0	0	0	1
4127187	4127491	0	0	0	0	1
4127488	4128419	0	0	0	0	1
4128416	4130301	0	0	0	0	1
4130298	4130599	0	0	0	0	1
4130601	4130841	0	0	0	0	1
4130838	4131371	0	0	0	0	1
4131368	4132039	0	0	0	0	1
4132036	4132721	0	0	0	0	1
4132718	4132972	0	0	0	0	1
4133032	4133254	0	0	0	0	1
4133251	4135081	0	0	0	0	1
4135124	4137945	0	0	0	0	1
4137955	4139895	0	0	0	0	1
4139892	4141224	0	0	0	0	1
4141221	4141288	0	0	0	0	1
4141371	4141734	0	0	0	0	1
4141731	4143027	0	0	0	0	1
4143024	4143402	0	0	0	0	1
4143399	4144308	0	0	0	0	1
4144530	4145257	0	0	0	0	1
4145254	4148060	0	0	0	0	1
4148057	4149062	0	0	0	0	1
4149225	4149691	0	0	0	0	1
4149688	4150168	0	0	0	0	1
4150165	4150242	0	0	0	0	1
4150239	4150720	0	0	0	0	1
4150812	4150959	0	0	0	0	1
4150968	4152568	0	0	0	0	1
4152565	4153902	0	0	0	0	1
4153899	4154628	0	0	0	0	1
4154625	4154941	0	0	0	0	1
4154938	4155224	0	0	0	0	1
4155221	4157288	0	0	0	0	1
4157285	4158473	0	0	0	0	1
4158470	4158859	0	0	0	0	1
4158856	4160750	0	0	0	0	1
4160955	4161632	0	0	0	0	1
4161629	4164473	0	0	0	0	1
4164470	4164723	0	0	0	0	1
4164720	4165028	0	0	0	0	1
4165135	4165525	0	0	0	0	1
4165522	4165560	0	0	0	0	1
4165637	4166466	0	0	0	0	1
4166463	4166993	0	0	0	0	1
4166990	4167794	0	0	0	0	1
4167906	4168000	0	0	0	0	1
4167997	4169507	0	0	0	0	1
4169504	4170140	0	0	0	0	1
4170137	4172236	0	0	0	0	1
4172233	4173524	0	0	0	0	1
4173521	4173875	0	0	0	0	1
4173872	4174439	0	0	0	0	1
4174436	4175381	0	0	0	0	1
4175383	4177402	0	0	0	0	1
4177399	4177579	0	0	0	0	1
4177576	4177871	0	0	0	0	1
4178014	4179397	0	0	0	0	1
4179394	4180156	0	0	0	0	1
4180153	4180888	0	0	0	0	1
4180925	4181538	0	0	0	0	1
4183936	4184588	0	0	0	0	1
4184585	4185225	0	0	0	0	1
4185284	4185926	0	0	1	0	1
4185923	4186303	0	0	1	0	1
4186505	4186665	0	0	1	0	0
4186662	4187172	0	0	1	0	0
4187453	4188103	0	0	1	0	0
4188307	4188625	0	0	1	0	1
4188622	4188726	0	0	1	0	1
4188723	4188973	0	0	1	0	1
4189174	4189928	0	0	1	0	1
4190115	4190334	0	0	1	0	1
4190331	4190443	0	0	1	0	1
4190736	4190781	0	0	1	0	1
4190778	4191570	1	0	1	0	1
4191567	4191652	1	0	1	0	1
4192391	4193703	1	0	1	0	1
4193700	4194417	1	0	1	0	1
