fragmentID	chromosome	start	end	HP1	EFF	DF31	PROD	LOLAL	IAL	ASF1	CAF1	MRG15	ACT5C	DWG	PCAF	ASH2	TIP60	LHR	SIN3A	PHOL	PCL	E.Z.	CDK7	CG31367	MED31	MUS209	TBP	SU.VAR.2-10	SU.VAR.3.9	CTBP	SIR2	LAM	PC	RPD3	D1	RPII18	H1	BEAF32	SU.HW.	CTCF	GAF	TOP1	JRA	BRM	BCD	MNT	GRO	DSP1	MAX	HP1C	SU.VAR.3.7	SUUR	SCE	HP6	ECR	PHO	Gal4.DBD	ChIP.H1	ChIP.H3	ChIP.H3K4me2.normH3	ChIP.H3K9me2.normH3	ChIP.H3K27me3.normH3	ChIP.H3K79me3.normH3	FAIRE
r5GATCX43620	chrX	15589740	15590305	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0
r5GATCX43621	chrX	15590302	15590585	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0
r5GATCX43622	chrX	15590582	15590816	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1
r5GATCX43624	chrX	15590872	15591497	0	1	1	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1
r5GATCX43626	chrX	15591621	15591629	0	0	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1
r5GATCX43627	chrX	15591626	15592463	0	0	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1
r5GATCX43629	chrX	15592499	15592842	0	0	1	1	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43630	chrX	15592839	15593446	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43631	chrX	15593443	15593857	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43632	chrX	15593854	15594675	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43634	chrX	15594711	15595922	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43639	chrX	15596148	15596660	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43640	chrX	15596657	15596841	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43641	chrX	15596838	15597199	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43644	chrX	15597323	15597363	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43646	chrX	15597604	15597693	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43647	chrX	15597690	15598093	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43648	chrX	15598090	15598301	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43652	chrX	15598483	15598802	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43653	chrX	15598799	15598903	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43655	chrX	15599007	15599226	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43659	chrX	15599417	15599501	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43661	chrX	15599525	15600462	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43662	chrX	15600459	15600718	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43663	chrX	15600715	15601008	0	0	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43666	chrX	15601219	15601537	0	0	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43667	chrX	15601534	15601560	0	0	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43670	chrX	15601660	15602434	0	0	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43671	chrX	15602431	15602471	0	0	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43672	chrX	15602468	15602768	0	0	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43678	chrX	15602945	15603100	0	0	1	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43681	chrX	15603306	15603679	0	0	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43684	chrX	15603825	15604134	0	0	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43685	chrX	15604131	15604469	0	0	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43687	chrX	15604481	15604716	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43688	chrX	15604713	15605183	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43692	chrX	15605342	15605583	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43693	chrX	15605580	15605761	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43695	chrX	15605875	15606770	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43696	chrX	15606767	15608285	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43700	chrX	15608339	15608797	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43702	chrX	15608962	15609071	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43705	chrX	15609253	15609368	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43707	chrX	15609437	15609718	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43708	chrX	15609715	15609950	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43712	chrX	15610139	15610457	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0
r5GATCX43715	chrX	15610538	15610747	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0
r5GATCX43716	chrX	15610744	15610918	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0
r5GATCX43720	chrX	15611131	15611184	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0
r5GATCX43722	chrX	15611263	15611567	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0
r5GATCX43724	chrX	15611716	15611931	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0
r5GATCX43725	chrX	15611928	15612253	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0
r5GATCX43728	chrX	15612304	15612479	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0
r5GATCX43731	chrX	15612576	15612814	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0
r5GATCX43732	chrX	15612811	15613137	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0
r5GATCX43735	chrX	15613185	15613240	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0
r5GATCX43736	chrX	15613237	15613549	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0
r5GATCX43738	chrX	15613754	15613861	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0
r5GATCX43740	chrX	15614020	15614393	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0
r5GATCX43741	chrX	15614390	15614734	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0
r5GATCX43742	chrX	15614731	15615265	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0
r5GATCX43743	chrX	15615262	15615350	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0
r5GATCX43747	chrX	15615457	15615863	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
r5GATCX43749	chrX	15615900	15615968	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
r5GATCX43751	chrX	15616230	15616289	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
r5GATCX43753	chrX	15616423	15616572	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
r5GATCX43757	chrX	15616776	15616866	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
r5GATCX43760	chrX	15617027	15617256	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
r5GATCX43763	chrX	15617388	15617552	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
r5GATCX43767	chrX	15617724	15617911	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
r5GATCX43769	chrX	15617932	15618229	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
r5GATCX43770	chrX	15618226	15618961	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
r5GATCX43771	chrX	15618958	15619419	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
r5GATCX43773	chrX	15619444	15619776	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
r5GATCX43775	chrX	15619845	15620163	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0
r5GATCX43778	chrX	15620424	15620748	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0
r5GATCX43779	chrX	15620745	15620966	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0
r5GATCX43781	chrX	15621008	15621085	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0
r5GATCX43782	chrX	15621082	15621423	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0
r5GATCX43786	chrX	15621563	15621740	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0
r5GATCX43788	chrX	15621894	15621986	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0
r5GATCX43789	chrX	15621983	15622255	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0
r5GATCX43790	chrX	15622252	15622625	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
r5GATCX43793	chrX	15622756	15622960	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
r5GATCX43796	chrX	15623074	15623293	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
r5GATCX43797	chrX	15623290	15623917	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
r5GATCX43800	chrX	15623993	15624039	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0
r5GATCX43802	chrX	15624170	15624406	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0
r5GATCX43803	chrX	15624403	15624688	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0
r5GATCX43804	chrX	15624685	15624966	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
r5GATCX43809	chrX	15625091	15625752	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1
r5GATCX43810	chrX	15625749	15626081	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1
