start	end	HP1	BRM	MRG15	PC	H1
18922749	18922960	0	0	0	0	1
18922957	18923723	0	1	0	0	1
18923720	18923855	0	1	0	0	1
18923852	18924769	0	1	0	0	1
18924881	18925044	0	1	0	0	1
18925218	18925535	0	1	0	0	1
18925532	18925667	0	1	0	0	1
18925664	18927153	0	0	0	0	1
18927150	18928460	0	0	0	0	1
18928457	18929140	0	0	0	0	1
18929160	18931842	0	0	0	0	1
18931839	18933664	0	0	0	0	1
18933661	18933815	0	0	0	0	1
18933812	18934662	0	0	0	0	1
18934659	18936638	0	0	0	0	1
18936635	18937237	0	0	0	0	1
18937234	18937540	0	0	0	0	1
18937537	18938070	0	0	0	0	1
18938067	18938321	0	0	1	0	1
18938318	18939188	0	0	1	0	1
18939185	18939550	0	0	1	0	1
18939547	18941170	0	0	1	0	1
18941167	18941516	0	0	1	0	1
18941720	18941932	0	0	1	0	1
18941929	18942098	0	0	1	0	1
18942131	18942357	0	0	1	0	1
18942601	18942826	0	0	1	0	0
18942823	18943017	0	0	1	0	0
18943189	18943468	0	0	1	0	0
18943465	18943735	0	0	1	0	0
18943732	18944160	0	0	1	0	0
18944157	18945177	0	0	1	0	0
18945174	18945803	0	1	1	0	0
18945800	18946208	0	1	1	0	0
18946205	18946372	0	1	1	0	0
18946369	18946895	0	1	1	0	0
18947107	18947265	0	1	1	0	0
18947262	18947593	0	1	1	0	0
18947734	18948249	0	0	1	0	0
18948267	18948492	0	0	1	0	1
18948627	18948685	0	0	1	0	1
18948860	18949602	0	0	1	0	1
18949599	18949939	0	0	1	0	1
18950117	18950674	0	0	1	0	1
18950671	18950740	0	0	1	0	1
18950737	18951044	0	0	1	0	0
18951103	18951758	0	0	1	0	0
18951888	18951987	0	0	1	0	0
18951984	18952703	0	0	1	0	0
18952700	18953140	0	0	1	0	0
18953398	18953441	0	0	0	0	0
18953438	18954156	0	0	0	0	0
18954153	18954344	0	0	0	0	0
18954437	18954667	0	0	0	0	1
18954834	18954982	0	0	0	0	1
18955123	18955307	0	0	0	0	1
18955524	18955541	0	0	0	0	1
18955662	18956307	0	0	0	1	1
18956304	18956724	0	0	0	1	1
18956721	18957312	0	0	0	1	1
18957309	18957719	0	0	0	1	1
18957716	18958247	0	0	0	1	1
18958244	18958379	0	0	0	1	1
18958376	18958832	0	0	0	1	1
18958829	18959015	0	0	0	1	1
18959012	18959309	0	0	0	1	1
18959306	18959441	0	0	0	1	1
18959438	18959765	0	0	0	1	1
18959994	18960043	0	0	0	1	1
18960279	18960454	0	0	0	1	1
18960518	18961542	0	0	0	1	1
18961539	18961886	0	0	0	1	1
18961930	18962619	0	1	0	1	1
18962641	18962846	0	1	0	1	0
18963033	18963499	0	1	0	1	0
18963599	18964192	0	1	0	1	0
18964189	18964683	0	1	0	1	0
18964680	18965815	0	1	0	1	0
18965812	18966098	0	1	0	1	1
18966213	18966781	0	1	0	1	1
18966866	18967028	0	1	0	1	1
18967025	18967763	0	1	0	1	1
18967760	18968384	0	1	0	1	1
18968381	18968780	0	1	0	1	1
18968777	18969593	0	0	0	1	1
18969599	18969934	0	0	0	1	1
18969931	18970005	0	0	0	1	1
18970002	18970245	0	0	0	1	1
18970403	18970760	0	0	0	1	1
18970757	18971064	0	0	0	1	1
18971061	18971606	0	0	0	1	1
18971688	18972040	0	0	0	1	1
18972037	18972402	0	0	0	1	1
18972399	18972763	0	0	0	1	1
18972803	18973688	0	0	0	1	1
18973685	18973991	0	0	0	1	1
18974059	18974233	0	0	0	1	1
18974259	18974522	0	0	0	1	1
18974532	18975001	0	0	0	1	1
18974998	18976271	0	0	0	1	1
18976268	18976861	0	0	0	0	1
18976858	18977318	0	0	1	0	1
18977428	18979562	0	0	1	0	1
18979568	18980051	0	0	1	0	1
18980048	18980675	0	0	1	0	1
18980672	18981245	0	0	1	0	1
18981242	18981616	0	0	1	0	1
18981613	18981947	0	0	1	0	1
18981944	18983965	0	0	0	0	0
18983962	18984325	0	0	0	1	0
18984322	18984568	0	0	0	1	0
18984612	18984659	0	0	0	1	1
18984833	18985985	0	0	0	1	1
18985982	18986588	0	0	0	1	1
18986723	18986797	0	0	0	1	1
18986962	18987242	0	1	0	1	1
18987239	18987558	0	1	0	1	1
18987555	18988114	0	1	0	1	1
18988111	18988705	0	1	0	1	1
18988702	18989809	0	1	0	1	1
18989806	18990100	0	1	0	1	1
18990097	18990457	0	0	0	1	1
18990454	18991326	0	0	0	1	1
18991323	18991961	0	0	0	1	1
18991958	18992590	0	0	0	1	1
18992621	18995973	0	0	0	1	1
18995970	18996163	0	0	0	1	1
18996216	18997063	0	0	0	1	1
18997060	18997720	0	0	0	1	1
18997799	18997921	0	0	0	1	1
18998096	18998315	0	0	0	1	1
18998460	18998509	0	1	0	1	0
18998506	18999055	0	1	0	0	0
18999052	18999680	0	1	0	0	0
18999677	19000340	0	1	0	0	0
19000518	19001160	0	1	0	0	0
19001157	19001900	0	1	0	0	0
19001897	19002095	0	1	0	0	0
19002092	19002703	0	1	0	0	0
19002825	19002942	0	1	0	0	0
19003210	19003704	0	1	0	0	0
19003701	19003846	0	1	0	0	0
19003981	19004353	0	1	0	0	0
19004350	19004508	0	1	0	0	0
19004533	19004769	0	1	0	0	0
19005018	19005146	0	1	0	0	0
19005220	19005425	0	1	0	0	0
19005422	19005916	0	1	0	0	0
19005924	19005983	0	1	0	0	0
19005980	19007351	0	1	0	0	0
19007348	19007720	0	1	0	0	0
19007726	19007787	0	1	0	0	0
19007897	19008596	0	1	0	0	0
19008593	19009270	0	1	1	0	0
19009325	19009684	0	1	1	0	0
19009766	19010196	0	1	1	0	0
19010256	19010655	0	1	1	0	0
19010652	19011598	0	1	1	0	0
19011595	19011901	0	1	1	0	0
19011898	19012354	0	1	1	0	0
19012351	19012674	0	1	1	0	0
19012671	19013098	0	1	1	0	0
19013095	19013516	0	1	1	0	0
19013664	19013734	0	1	1	0	0
19014062	19014375	0	1	1	0	0
19014642	19014683	0	1	1	0	0
19014895	19015047	0	1	0	0	0
19015125	19015417	0	1	0	0	0
19015414	19016089	0	1	0	0	0
19016086	19016416	0	1	0	0	0
19016413	19016547	0	1	0	0	0
19016673	19016770	0	1	0	0	0
19017024	19017445	0	1	0	0	0
19017551	19017672	0	1	1	0	0
19017669	19018127	0	1	1	0	0
19018124	19018347	0	1	1	0	0
19018348	19018590	0	1	1	0	0
19018781	19018858	0	1	1	0	0
19018933	19019497	0	1	1	0	0
19019693	19019898	0	1	1	0	0
19019895	19021269	1	1	1	0	0
19021445	19021770	1	1	1	0	0
19021767	19022466	1	1	1	0	0
19022712	19022995	1	1	1	0	0
19022992	19023401	1	1	1	0	0
19023545	19023831	1	1	1	0	0
19023944	19024017	1	1	1	0	0
19024226	19024338	1	1	1	0	0
19024335	19025317	1	1	1	0	0
19025314	19025653	1	1	1	0	0
19025650	19025849	1	1	1	0	0
19026025	19027873	1	1	1	0	0
19027890	19028144	1	1	1	1	0
19028291	19028808	1	1	1	1	0
19028885	19029378	1	1	1	1	0
19029500	19030914	1	1	1	1	0
19030911	19031753	1	1	1	1	0
19031750	19032241	1	1	1	1	0
19032256	19032496	1	1	1	1	0
19032493	19032856	1	1	1	1	0
19032887	19033779	1	1	0	1	0
19033776	19034929	1	1	0	0	0
19035026	19035455	1	1	0	0	0
19035594	19035781	1	1	0	0	0
19035859	19036241	0	1	0	0	0
19036238	19036590	0	1	0	0	0
19036785	19036865	0	1	0	0	0
19036917	19037986	0	1	0	0	0
19037983	19038840	0	1	0	0	0
19038837	19039020	0	1	0	0	0
19039223	19039304	0	1	0	0	0
19039301	19040357	0	1	0	0	0
19040354	19041086	0	1	0	0	0
19041111	19041557	0	0	0	1	0
19041554	19041853	0	0	0	1	0
19041850	19041998	0	0	0	1	0
19041995	19042262	0	1	0	1	0
19042259	19043060	0	1	0	1	0
19043057	19043706	0	1	0	1	0
19043703	19043915	0	1	0	1	0
19044011	19044047	0	1	0	1	0
19044044	19044386	0	1	0	1	0
19044624	19044802	0	1	0	1	0
19044799	19046233	0	1	0	1	0
19046230	19048782	0	1	0	1	0
19048792	19048999	0	1	0	1	0
19049009	19049981	0	1	0	1	0
19049978	19050402	0	1	0	1	0
19050399	19051231	0	1	0	1	0
19051228	19051377	0	1	0	1	0
19051374	19052720	0	1	0	1	0
19052717	19052854	0	1	0	1	0
19052851	19053393	0	1	0	1	0
19053390	19053742	0	1	0	1	0
19053739	19054183	0	1	0	1	0
19054423	19055229	0	1	0	1	0
19055226	19055686	0	0	0	1	1
19055683	19055927	0	0	0	1	1
19056045	19057224	0	0	0	1	1
19057221	19057286	0	0	0	1	1
19057459	19057633	0	0	0	1	1
19057630	19057923	0	0	0	1	1
19057986	19058340	0	0	0	1	1
19058394	19058507	0	0	0	1	1
19058564	19059061	0	0	0	1	1
19059074	19059515	0	0	0	1	1
19059893	19060191	0	0	0	1	1
19060188	19060272	0	0	0	1	1
19060269	19060601	0	0	0	1	1
19060669	19060994	0	0	0	1	1
19060991	19061339	0	0	0	0	1
19061336	19062913	0	0	0	0	1
19062910	19063482	0	0	0	0	1
19063479	19065401	0	0	0	0	1
19065398	19066623	0	0	0	0	1
19066620	19067250	0	0	0	0	1
19067247	19067625	0	0	0	0	1
19067622	19067774	0	0	0	0	1
19067957	19068554	0	0	0	0	1
19068551	19069067	0	0	0	0	1
19069064	19070142	0	0	0	0	1
19070139	19070524	0	0	0	0	1
19070521	19071236	0	0	0	0	1
19071257	19071650	0	0	0	0	1
19071647	19072553	0	0	0	0	1
19072550	19073980	0	0	0	0	1
19073977	19074919	0	0	0	0	1
19074916	19075334	0	0	0	0	1
19075482	19075914	0	0	1	0	1
19075911	19076187	0	0	1	0	0
19076295	19077100	0	0	1	0	0
19077097	19077725	0	0	1	0	0
19077722	19078009	0	0	1	0	0
19078211	19078329	0	0	1	0	0
19078406	19078577	0	0	1	0	0
19078574	19079092	0	0	1	0	0
19079089	19079332	0	0	1	0	0
19079422	19079761	0	0	1	0	0
19079758	19080109	0	0	1	0	0
19080251	19080585	0	0	1	0	0
19080594	19081538	0	0	1	0	0
19081726	19082464	0	0	1	0	0
19082461	19082818	0	0	1	0	0
19082967	19083143	0	0	1	0	0
19083244	19083759	0	0	1	0	0
19083756	19084620	0	0	1	0	0
19084738	19085500	0	1	1	0	0
19085588	19086000	0	1	1	0	0
19085997	19086123	0	1	1	0	0
19086120	19086668	0	1	1	0	0
19086691	19087324	0	0	1	0	1
19087321	19088786	0	0	0	1	1
19088783	19089370	0	0	0	1	1
19089416	19090438	0	0	0	1	1
19090435	19090599	0	0	0	1	1
19090596	19091581	0	0	0	1	1
19091578	19092084	0	0	0	1	1
19092246	19092344	0	0	0	1	1
19092341	19092693	0	0	0	1	1
19092868	19092939	0	0	0	1	1
19093022	19095117	0	0	0	1	1
19095323	19095717	0	0	0	1	1
19095714	19096303	0	0	0	1	1
19096300	19097284	0	0	0	1	1
19097448	19097979	0	0	0	1	1
19097976	19098222	0	0	0	1	1
19098219	19098446	0	0	0	1	1
19098443	19098672	0	0	0	1	1
19098669	19099563	0	0	0	1	1
19099805	19100458	0	0	0	1	1
19100455	19100508	0	0	0	1	1
19100505	19100966	0	0	0	1	1
19100971	19101415	0	0	0	1	1
19101412	19102419	0	0	0	1	1
19102416	19102824	0	0	0	1	1
19102821	19103374	0	0	0	1	1
19103371	19103858	0	0	0	1	1
19103855	19104595	0	0	0	1	1
19104592	19105080	0	0	0	0	0
19105077	19105399	0	0	0	0	0
19105396	19107441	0	0	0	0	0
19107438	19108092	0	0	1	0	0
19108242	19108372	0	0	1	0	1
19108535	19108587	0	0	1	0	1
19108584	19108964	0	0	1	0	1
19108961	19109261	0	0	1	0	1
19109312	19110805	0	0	1	0	1
19110802	19111581	0	0	1	1	1
19111578	19111996	0	0	1	1	1
19111993	19112186	0	0	1	1	1
19112211	19112519	0	0	1	1	1
19112679	19112751	0	0	1	1	1
19113002	19113110	0	0	1	1	1
19113218	19113414	0	0	1	1	1
19113516	19114115	0	0	1	1	1
19114112	19114488	0	0	1	1	1
19114485	19114567	0	0	1	1	1
19114725	19114956	0	0	1	1	1
19115112	19115227	0	0	1	1	1
19115390	19115494	0	1	1	1	0
19115491	19116219	0	1	1	1	0
19116333	19116610	0	1	1	1	0
19116607	19116724	0	1	1	1	0
19116721	19116934	0	1	1	1	0
19117234	19117381	0	1	1	1	0
19117447	19117557	0	1	1	1	0
19117672	19117885	0	1	1	1	0
19118108	19118854	0	1	1	1	0
19118851	19119845	0	1	1	0	0
19119842	19120277	0	1	1	0	0
19120352	19120702	0	1	1	0	0
19120807	19121039	0	1	1	0	0
19121036	19121973	0	1	1	0	0
19121985	19122107	0	1	1	0	0
19122104	19122443	0	1	1	0	0
19122440	19123283	0	1	1	0	0
19123374	19123791	0	1	1	0	0
19123826	19123851	0	1	1	0	0
19123848	19124555	0	1	1	0	0
19124753	19124791	0	0	1	0	0
19125027	19125047	0	0	1	0	0
19125217	19125435	0	0	1	0	0
19125556	19125691	0	0	1	0	0
19125810	19126736	0	0	1	0	0
19126733	19126916	0	1	1	0	0
19127089	19127757	0	1	1	0	0
19127754	19128191	0	1	1	0	0
19128188	19128618	0	1	1	0	0
19128615	19130579	0	1	1	0	0
19130576	19131928	0	1	1	0	0
19131925	19132545	0	1	1	0	0
19132542	19133245	0	1	0	0	0
19133242	19133852	0	1	0	0	0
19134015	19134068	0	1	0	0	0
19134065	19134778	0	1	0	0	0
19134775	19135451	0	1	0	0	0
19135697	19135912	0	1	0	0	0
19136065	19136910	0	1	0	0	0
19137048	19137856	0	1	0	0	0
19137853	19138693	0	1	1	0	0
19138810	19139550	0	1	1	0	0
19139651	19140048	0	1	0	0	0
19140045	19140737	0	1	0	0	0
19140793	19141105	0	1	0	0	0
19141102	19141397	0	1	0	0	0
19141394	19141867	0	1	0	0	0
19142124	19142493	0	1	0	0	0
19142573	19142931	0	1	0	0	0
19142993	19143612	0	1	0	0	0
19143609	19144307	1	1	0	0	0
19144304	19144716	1	1	0	0	0
19144713	19145052	1	1	0	0	0
19145049	19145447	1	1	0	0	0
19145444	19145834	1	1	0	0	0
19145938	19146089	1	1	0	0	0
19146086	19146523	1	1	0	0	0
19146520	19146674	1	1	0	0	0
19146680	19147130	1	1	0	0	0
19147214	19147310	1	1	0	0	0
19147307	19147892	1	1	0	0	0
19148014	19148240	1	1	0	0	0
19148338	19148504	1	1	0	0	0
