start	end	HP1	BRM	MRG15	PC	H1
15340984	15341434	0	1	1	0	0
15341431	15341599	0	1	1	0	0
15341614	15342884	0	1	1	0	0
15342881	15343036	0	1	1	0	0
15343033	15343335	0	1	1	0	0
15343437	15344737	0	1	1	0	0
15344734	15345318	0	1	1	0	0
15345315	15345595	0	0	1	0	0
15346187	15346321	0	0	1	0	0
15346375	15347014	1	0	1	0	0
15347011	15347277	1	0	1	0	0
15347315	15347743	0	0	1	0	0
15347740	15347949	0	0	1	0	0
15348030	15348078	0	0	1	0	0
15348147	15348423	0	0	1	0	1
15348603	15348719	0	0	1	0	1
15348716	15349009	0	0	1	0	1
15349006	15349857	1	0	1	0	1
15349854	15349937	1	0	1	0	1
15350125	15350436	1	0	1	0	1
15350730	15350747	1	0	1	0	1
15350744	15351284	1	0	1	0	1
15351281	15352127	1	0	1	0	1
15352124	15352483	1	0	1	0	1
15352480	15352549	1	0	1	0	1
15352737	15352910	1	0	1	0	1
15352907	15353257	1	0	1	0	1
15353254	15353620	1	0	1	0	1
15353687	15354094	1	0	1	0	1
15354272	15354641	1	0	1	0	1
15354638	15355418	1	0	1	0	0
15355415	15355771	1	0	1	0	0
15355768	15356366	0	0	1	0	0
15356363	15357007	0	0	1	0	0
15357011	15357147	0	0	1	0	0
15357281	15357673	0	0	1	0	0
15357806	15357960	0	0	1	0	0
15357957	15358261	0	0	1	0	0
15358258	15359444	0	0	1	0	0
15359483	15359910	0	0	1	0	0
15359907	15360133	1	0	1	0	0
15360308	15360578	1	0	1	0	1
15360575	15360695	1	0	1	0	1
15360742	15361043	1	0	1	0	1
15361040	15361404	1	0	1	0	1
15361401	15361930	1	0	1	0	1
15362092	15362268	1	0	1	0	1
15362414	15362559	1	0	1	0	1
15362626	15362797	1	0	1	0	1
15363025	15363726	1	0	1	0	1
15363723	15363976	1	0	1	0	1
15364150	15364397	1	0	1	0	1
15364471	15364790	1	0	1	0	0
15364787	15365129	1	0	1	0	0
15365126	15365444	1	0	1	0	0
15365610	15365783	1	0	1	0	0
15365780	15366097	1	0	1	0	0
15366206	15366416	0	0	1	0	0
15366605	15366958	0	0	1	0	0
15367119	15367599	0	0	1	0	0
15367596	15367874	0	0	1	0	0
15368072	15368276	0	0	1	0	0
15368273	15368439	0	0	1	0	0
15368653	15368854	0	0	1	0	0
15368872	15369368	0	0	1	0	0
15369365	15369907	1	0	1	0	0
15369904	15370060	1	0	0	0	0
15370057	15371884	1	0	0	0	0
15372026	15372107	1	0	0	1	1
15372104	15372733	1	0	0	1	1
15372730	15373475	1	0	0	1	1
15373472	15373847	1	0	0	1	1
15374098	15374239	1	0	0	1	1
15374338	15374915	1	0	0	1	1
15374912	15375056	1	0	0	1	1
15375091	15375627	1	0	0	1	1
15375917	15375972	1	0	0	0	1
15376148	15376752	1	0	0	0	0
15377089	15377576	1	0	0	0	0
15377731	15378150	1	0	0	0	0
15378267	15378618	1	0	0	0	0
15378615	15378669	1	0	0	0	0
15378943	15379076	1	0	1	0	0
15379101	15379425	0	0	1	0	0
15379458	15379585	0	0	1	0	0
15379813	15380482	0	0	1	0	0
15380495	15381216	0	0	1	0	0
15381213	15381503	0	0	1	0	0
15381500	15381683	0	0	1	0	0
15381680	15382337	0	0	1	0	0
15382334	15382551	0	0	1	0	0
15382791	15383101	0	0	0	1	0
15383098	15383360	0	0	0	1	0
15383421	15383569	0	0	0	1	0
15383566	15383846	0	0	0	1	0
15383934	15384647	0	0	0	1	0
15384644	15385333	0	0	0	1	0
15385330	15385658	1	0	0	1	0
15385745	15387208	1	0	0	1	0
15387205	15387372	1	0	0	1	0
15387369	15388871	1	0	0	1	0
15389094	15389500	0	0	0	1	0
15389653	15389812	0	0	0	1	0
15390006	15391734	0	0	0	0	0
15391731	15391859	0	1	0	0	0
15391856	15392434	0	1	0	0	0
15392497	15392859	0	1	0	0	0
15393050	15393069	0	1	0	0	0
15393066	15393959	0	1	0	0	0
15393956	15394756	0	1	0	0	0
15394753	15395009	0	1	0	0	0
15395006	15395187	0	1	0	0	0
15395184	15395834	0	1	0	0	0
15396000	15396229	0	1	0	0	0
15396314	15396463	0	1	0	0	0
15396460	15397698	0	1	0	0	0
15397695	15397931	0	0	0	0	1
15398075	15398165	0	0	1	0	1
15398360	15398642	0	0	1	0	1
15398741	15398822	0	0	1	0	1
15398879	15399374	0	0	1	0	1
15399560	15399742	0	0	1	0	1
15399860	15400096	0	0	1	0	1
