start	end	HP1	BRM	MRG15	PC	H1
60451	60729	1	0	1	0	1
60772	61021	1	0	1	0	1
61207	61357	1	0	1	0	1
61495	61630	1	0	1	0	1
61627	62094	1	0	1	0	0
62867	63206	1	0	1	0	0
63203	63845	1	0	1	0	0
63842	64076	1	0	1	0	0
64073	64252	1	0	0	0	0
64249	64712	1	0	0	0	0
64709	65270	1	0	0	0	0
65267	65563	1	0	0	0	0
65598	66569	1	0	0	0	0
66566	67065	1	0	0	1	1
67062	67828	1	0	0	1	1
67825	68689	1	0	0	1	1
68686	69045	1	0	0	1	1
69042	69660	1	0	0	1	1
69792	70173	1	0	0	1	1
70170	70331	1	0	0	1	1
70328	70743	1	0	0	1	1
70740	71180	1	0	0	1	1
71177	71508	1	0	0	1	1
71663	72448	1	0	0	1	1
72578	72939	1	0	0	1	1
73203	73738	1	0	0	1	1
74351	75177	1	0	0	1	1
75174	75871	1	0	0	1	1
75926	76635	1	0	0	1	1
76632	76985	1	0	0	1	0
77145	78034	1	0	0	1	0
78031	78637	1	0	0	1	0
78634	81710	1	0	0	1	0
81806	82775	1	0	0	1	0
82772	83255	1	0	0	1	0
83268	83646	1	0	0	1	0
83688	83968	1	0	0	0	0
83965	84513	1	0	0	0	0
84524	84851	1	0	0	0	0
84848	84958	1	0	1	0	0
85470	86660	1	0	1	0	0
86657	87159	1	0	1	0	0
87258	87572	1	0	0	0	0
87569	88879	1	0	0	0	0
88975	89274	1	0	0	0	0
89271	90008	1	0	0	0	0
90005	90306	1	0	0	0	0
90303	90723	1	0	0	0	0
90850	92082	1	0	0	0	0
92079	92733	1	0	0	0	0
92730	93084	1	0	0	0	0
93140	93692	1	0	0	0	1
93689	93953	1	0	0	0	1
93950	94574	1	0	0	0	1
94802	95208	1	0	0	0	1
95357	96184	1	0	0	0	1
96359	96392	1	0	0	0	1
96395	97172	1	0	1	0	1
102559	103006	1	0	1	0	1
103138	103309	1	0	1	0	1
103487	104015	1	0	1	0	1
104096	105294	1	0	1	0	1
105323	105477	1	0	1	0	1
105474	106245	1	0	1	0	1
106242	106924	1	0	1	0	1
106981	108514	1	0	1	0	1
108511	108774	1	0	1	0	1
108901	109302	1	0	1	0	1
109299	109561	1	0	1	0	1
109558	111296	1	0	1	0	1
111293	111927	1	0	1	0	1
111924	112087	1	0	1	0	1
112084	112372	1	0	1	0	1
112482	113457	1	0	1	0	1
113454	113827	1	0	1	0	1
113824	114453	1	0	1	0	1
114450	115611	1	0	1	0	1
115608	116476	1	0	1	0	1
117475	117666	1	0	1	0	1
117663	118641	1	0	1	0	1
119404	119646	1	0	1	0	1
119689	120073	1	0	1	0	1
120070	120513	1	0	1	0	1
120510	121577	1	0	1	0	1
122025	122370	1	0	1	0	1
122535	122549	1	0	1	0	1
122546	124140	1	0	1	0	1
124166	125042	1	0	1	0	1
125039	126605	1	0	1	0	1
126602	126822	1	0	1	0	1
126819	127438	1	0	1	0	1
127573	127869	1	0	1	0	1
127893	128433	1	0	1	0	1
128430	129087	1	0	1	0	1
129084	129124	1	0	1	0	1
129121	130055	1	0	1	0	1
130052	131072	1	0	1	0	1
131069	132314	1	0	1	0	1
132417	132471	1	0	1	0	1
132468	132980	1	0	1	0	0
132977	133360	1	0	1	0	0
133357	134083	1	0	1	0	0
134080	134580	1	0	1	0	0
134600	134815	1	0	1	0	1
134825	135212	1	0	1	0	1
135366	135714	1	0	1	0	1
136573	136631	1	0	1	0	1
136628	137734	1	0	1	0	1
137731	138112	1	0	1	0	1
138109	138534	1	0	1	0	1
138531	138956	1	0	1	0	1
138967	139370	1	0	1	0	1
139479	140192	1	0	1	0	1
140230	140368	1	0	1	0	1
140365	140547	1	0	1	0	1
140646	141331	1	0	1	0	1
141328	141636	1	0	1	0	1
141633	143592	1	0	1	0	1
143589	143968	1	0	1	0	1
143965	144699	1	0	1	0	1
144696	145547	1	0	1	0	1
145544	145895	1	0	1	0	1
145892	146074	1	0	1	0	1
146878	147511	1	0	1	0	1
147865	149351	1	0	1	0	0
149481	149633	1	0	1	0	0
149630	150637	1	0	1	0	0
150702	151951	1	0	1	0	0
151948	152399	1	0	1	0	0
152396	152701	1	0	1	0	0
152745	154947	1	0	1	0	0
154944	155236	1	0	1	0	0
155465	156685	1	0	1	0	0
156682	157540	1	0	1	0	0
157546	157904	1	0	1	0	0
157901	158490	1	0	1	0	0
158487	159002	1	0	1	0	0
159015	159570	1	0	1	0	0
159589	160120	1	0	1	0	1
160139	160374	1	0	1	0	1
160371	160755	1	0	1	0	1
160752	160989	1	0	1	0	1
161001	161221	1	0	1	0	1
161301	161778	1	0	1	0	1
161775	162267	1	0	1	0	1
162264	162597	1	0	1	0	1
162594	162885	1	0	1	0	1
162882	164115	1	0	1	0	1
166843	167829	1	0	0	0	1
167826	169053	1	0	0	0	1
169299	169401	1	0	0	0	1
169398	170135	1	0	0	0	1
170154	170550	1	0	0	0	1
170547	171820	1	0	0	0	1
171817	172193	1	0	0	0	1
172190	173841	1	0	0	0	1
173838	174466	1	0	0	0	1
174616	174954	1	0	0	0	1
175015	175235	1	0	0	0	1
175232	175441	1	0	0	0	1
175438	175689	1	0	0	0	1
175686	176124	1	0	0	0	1
176121	176720	1	0	0	0	1
176717	176953	1	0	0	0	1
176950	177221	1	0	0	0	1
177218	177549	1	0	0	0	1
177546	178592	1	0	0	0	1
178589	179665	1	0	0	0	1
179662	179867	1	0	0	0	1
180061	180148	1	0	0	0	1
180145	181066	1	0	0	0	1
181255	181463	1	0	0	0	1
181631	181685	1	0	0	0	1
181820	182624	1	0	0	0	1
182621	183914	1	0	0	0	1
183911	184964	1	0	0	0	1
185141	185417	1	0	0	0	1
185414	186282	1	0	0	0	1
186290	186585	1	0	0	0	1
186582	187793	1	0	0	0	1
187829	188003	1	0	0	0	1
188000	188964	1	0	0	0	1
188961	189400	1	0	0	0	1
189397	189707	1	0	0	0	1
189710	189847	1	0	0	0	1
189844	190267	1	0	0	0	1
190264	190567	1	0	0	0	1
190564	191055	1	0	0	0	1
191052	191501	1	0	0	0	1
191498	192338	1	0	0	0	1
192335	192996	1	0	0	0	1
192993	193645	1	0	0	0	1
193661	194048	1	0	0	0	1
194208	194791	1	0	0	0	1
194788	194918	1	0	0	0	1
194915	196726	1	0	0	0	1
196776	197216	1	0	0	0	1
197213	197654	1	0	0	0	1
197651	197855	1	0	0	0	1
197852	198273	1	0	1	0	1
198270	198585	1	0	1	0	0
198582	198876	1	0	1	0	0
198873	199765	1	0	1	0	0
199762	200366	1	0	1	0	0
200363	200518	1	0	1	0	0
200515	200976	1	0	1	0	0
201025	202205	1	0	1	0	0
202202	202744	1	0	1	0	0
202854	203066	1	0	1	0	0
204082	204493	1	0	1	0	0
204490	205990	1	0	1	0	0
206023	206286	1	0	1	0	0
206283	206646	1	0	1	0	0
206710	206986	1	0	1	0	0
206983	207719	1	0	1	0	0
207941	208891	1	0	1	0	0
208888	208922	1	0	1	0	0
209055	210033	1	0	1	0	0
210030	210890	1	0	1	0	0
210887	211426	1	0	1	0	0
211423	212056	1	0	1	0	0
212053	212578	1	0	1	0	0
212617	213085	1	0	1	0	0
213082	213592	1	0	1	0	0
213589	214883	1	0	1	0	0
214880	215361	1	0	1	0	0
215358	215967	1	0	1	0	0
215964	216626	1	0	1	0	0
216675	217554	1	0	1	0	1
217551	218072	1	0	1	0	1
218069	218611	1	0	1	0	1
218608	218884	1	0	1	0	1
219117	219361	1	0	1	0	1
219358	219601	1	0	1	0	1
219664	220904	1	0	1	0	1
220901	221366	1	0	1	0	1
221460	221535	1	0	1	0	1
221532	222115	1	0	1	0	1
222112	222520	1	0	1	0	1
222572	222878	1	0	1	0	1
223028	223494	1	0	1	0	1
223491	223651	1	0	1	0	1
223848	224436	1	0	1	0	0
224433	225369	1	0	1	0	0
225366	225576	1	0	1	0	0
225617	225744	1	0	0	0	0
225741	226134	1	0	0	0	0
226131	226588	1	0	0	0	0
226585	227133	1	0	0	0	0
227130	227351	1	0	0	0	0
227348	227574	1	0	0	0	0
227786	228110	1	0	0	0	0
228107	228145	1	0	0	0	0
229114	230123	1	0	0	0	0
230120	230257	1	0	0	0	0
230695	230869	1	0	0	0	0
230866	231125	1	0	0	0	0
231122	231778	1	0	1	0	0
231865	232268	1	0	1	0	0
232289	232483	1	0	1	0	1
232540	233312	1	0	1	0	1
233309	234377	1	0	1	0	1
234374	234825	1	0	1	0	1
234997	236020	1	0	1	0	1
236017	236637	1	0	1	0	1
236658	237663	1	0	0	0	1
237660	238306	1	0	0	0	1
238449	238714	1	0	0	0	1
238711	239408	1	0	0	0	1
239405	239806	1	0	0	0	1
239803	240227	1	0	0	0	1
240224	240422	1	0	0	0	1
240419	240729	1	0	0	0	1
240994	242299	1	0	0	0	1
242340	243296	1	0	0	0	1
243298	243621	0	0	0	0	1
243703	244309	0	0	0	0	1
244306	244699	0	0	0	0	1
244751	245101	0	0	0	0	1
245098	246917	0	0	0	0	1
248195	248404	0	0	0	0	1
248497	248571	0	0	0	0	1
248792	249073	0	0	0	0	1
249070	249277	0	0	0	0	1
249365	249772	0	0	0	0	1
249853	250066	0	0	0	0	1
250063	250354	0	0	0	0	1
250351	250831	0	0	0	0	1
250828	251237	0	0	0	0	1
251326	253070	0	0	0	0	1
253067	253681	0	0	0	0	1
253832	254064	0	0	0	0	1
254149	254867	1	0	0	0	1
254864	255365	1	0	0	0	1
255368	255605	1	0	0	0	1
255602	255954	1	0	0	0	1
256016	257501	1	0	0	0	1
257498	258015	1	0	0	0	1
258041	258369	0	0	0	0	1
258366	258936	0	0	0	0	1
258933	259055	0	0	0	0	1
259052	259396	0	0	0	0	1
259393	259807	0	0	0	0	1
259888	260633	0	0	0	0	1
260639	261454	0	0	0	0	1
261451	261917	0	0	0	0	1
261914	264282	0	0	0	0	1
264311	265433	0	0	0	0	1
265562	266235	0	0	0	0	1
266313	266873	0	0	0	0	1
266870	267721	0	0	0	0	1
267718	268042	0	0	0	0	1
268177	268321	1	0	0	0	1
269387	269857	1	0	0	0	1
269854	270647	1	0	0	0	1
270644	270741	1	0	0	0	1
270738	271263	1	0	0	0	1
271260	271467	1	0	0	0	1
271464	272088	0	0	0	0	1
272127	272379	0	0	0	0	1
272376	272942	0	0	0	0	1
273024	273806	0	0	0	0	1
273803	274246	0	0	0	0	1
274243	274555	0	0	0	0	1
274574	275501	0	0	0	0	1
275498	276506	0	0	0	0	1
276677	276770	0	0	0	0	1
276767	277034	0	0	0	0	1
277031	278140	0	0	0	0	1
278191	278940	0	0	0	0	1
279025	279451	0	0	0	0	1
279448	279906	0	0	0	0	1
279990	280075	0	0	0	0	1
280266	280353	0	0	0	0	1
280611	280623	0	0	0	0	1
280765	281488	0	0	0	0	1
281485	282296	0	0	0	0	1
282293	282464	0	0	0	0	1
282665	282846	0	0	0	0	1
282907	283242	0	0	0	0	1
283239	284582	0	0	0	0	1
284784	285044	0	0	0	0	1
285041	285176	0	0	0	0	1
285400	285636	0	0	0	0	1
285633	285945	0	0	0	0	1
285956	286730	0	0	0	0	1
286727	287823	0	0	0	0	1
287992	288271	0	0	0	0	1
288268	288610	0	0	0	0	1
288657	289333	0	0	0	0	1
289517	290444	0	0	0	0	1
290441	290664	0	0	0	0	1
290796	291814	0	0	0	0	1
291811	292057	0	0	0	0	1
292251	292607	0	0	0	0	1
292635	292703	0	0	0	0	1
292784	293203	0	0	0	0	1
293200	293879	0	0	0	0	1
293911	294197	0	0	0	0	1
294194	294578	0	0	0	0	1
294575	295053	0	0	0	0	1
295272	296254	0	0	0	0	1
296477	297358	0	0	0	0	1
297355	297840	0	0	0	0	1
297877	298049	0	0	0	0	1
298046	299764	0	0	0	0	1
299761	299929	0	0	0	0	1
