Start	End	TADs
3000	15000	1
18000	33000	2
36000	48000	3
51000	69000	4
72000	87000	5
90000	108000	6
111000	123000	7
126000	141000	8
144000	159000	9
162000	177000	10
180000	198000	11
201000	231000	12
234000	246000	13
249000	261000	14
264000	279000	15
282000	294000	16
297000	309000	17
312000	327000	18
330000	342000	19
345000	357000	20
360000	372000	21
375000	387000	22
390000	408000	22
411000	423000	21
426000	438000	20
441000	468000	19
471000	495000	18
498000	510000	17
513000	525000	16
528000	540000	15
543000	567000	14
570000	594000	13
597000	612000	12
615000	645000	11
648000	660000	10
663000	678000	9
681000	702000	8
705000	717000	7
720000	732000	6
735000	750000	5
753000	765000	4
768000	780000	3
783000	795000	2
798000	819000	1
