start	end	HP1	BRM	MRG15	PC	H1
15185753	15187472	0	0	0	1	1
15187469	15188574	0	0	0	1	1
15188571	15188898	0	0	0	1	1
15188895	15189721	0	0	0	0	1
15189718	15190269	0	0	0	0	1
15190266	15191205	0	0	0	0	1
15191202	15191636	0	0	0	0	1
15191633	15192739	0	0	0	0	1
15192736	15193665	0	0	0	0	1
15193662	15194144	0	0	0	0	1
15194141	15194829	0	0	0	0	1
15194826	15195150	0	0	0	0	1
15195147	15195572	0	0	0	0	1
15195569	15196396	0	0	0	0	1
15196393	15198145	0	0	0	0	1
15198142	15199122	0	0	0	0	1
15199303	15199513	0	0	0	0	1
15199695	15200219	0	0	0	0	1
15200291	15200547	0	0	0	0	1
15200544	15202009	0	0	0	0	1
15202006	15203232	0	0	0	0	1
15203229	15203622	0	0	0	0	1
15203619	15204028	0	0	0	0	1
15204182	15205522	0	0	0	0	1
15205519	15205796	0	0	0	0	1
15205793	15206507	0	0	0	0	1
15206558	15208195	0	0	0	0	1
15208192	15209250	0	0	0	0	1
15209247	15209580	0	0	0	0	1
15209577	15209942	0	0	0	0	1
15209939	15211448	0	0	0	0	1
15211445	15212086	0	0	0	0	1
15212230	15212525	0	0	0	0	1
15212522	15213337	0	0	0	0	1
15213334	15213670	0	0	0	0	1
15213667	15214100	0	0	0	0	1
15214097	15217390	0	0	0	0	1
15217387	15217478	0	0	0	0	1
15217475	15217780	0	0	0	0	1
15217777	15218546	0	0	0	0	1
15218543	15218631	0	0	0	0	1
15218628	15219072	0	0	0	0	1
15219069	15219837	0	0	0	0	1
15219834	15220018	0	0	0	0	1
15220097	15220161	0	0	0	0	1
15220188	15220555	0	0	0	0	1
15220552	15221101	0	0	0	0	1
15221103	15221861	0	0	0	0	1
15221858	15223979	0	0	0	0	1
15223976	15224138	0	0	0	0	1
15224135	15224910	0	0	0	0	1
15224907	15225835	0	0	0	0	1
15225948	15226483	0	0	0	0	1
15226480	15226962	0	0	0	0	1
15226959	15227797	0	0	0	0	1
15227794	15228388	0	0	0	0	1
15228385	15228989	0	0	0	0	1
15229049	15229874	0	0	0	0	1
15229924	15230079	0	0	0	0	1
15230128	15231350	0	0	0	0	1
15231347	15231588	0	0	0	0	1
15231585	15232103	0	0	0	0	1
15232100	15232343	0	0	0	0	1
15232340	15232867	0	0	0	0	1
15233011	15233241	0	0	0	0	1
15233238	15234286	0	0	0	0	1
15234520	15235643	0	0	0	0	1
15235640	15236396	0	0	0	0	1
15236567	15236640	0	0	0	0	1
15236724	15238598	0	0	0	0	1
15238595	15239571	0	0	0	0	1
15239568	15240294	0	0	0	0	1
15240291	15240512	0	0	0	0	1
15240509	15241460	0	0	0	0	1
15241604	15242177	0	0	0	0	1
15242174	15243463	0	0	0	0	1
15243460	15243917	0	0	0	0	1
15243925	15244767	0	0	0	0	1
15244764	15245798	0	0	0	0	1
15245795	15247327	0	0	0	0	1
15247324	15247697	0	0	0	0	1
15247694	15247791	0	0	0	0	1
15247848	15248153	0	0	0	0	1
15248150	15248356	0	0	0	0	1
15248353	15248666	0	0	0	0	1
15248663	15249433	0	0	0	0	1
15249430	15250784	0	0	0	0	1
15250781	15251040	0	0	0	0	1
15251253	15251472	0	0	0	0	1
15251589	15251664	0	0	0	0	1
15251887	15251996	0	0	0	0	1
15252192	15252244	0	0	0	0	1
15252496	15252592	0	0	0	0	1
15252728	15252844	0	0	0	0	1
15252893	15253157	0	0	0	0	1
15253288	15253401	0	1	0	0	1
15253398	15253832	0	1	0	0	1
15253900	15254008	0	1	0	0	0
15254211	15254578	0	1	1	0	0
15254575	15255297	0	1	1	0	0
15255316	15256053	0	0	1	0	0
15256067	15256200	0	0	1	0	0
15256228	15256816	0	0	1	0	0
15256857	15257070	0	0	1	0	1
15257246	15257424	0	0	1	0	1
15257514	15258184	0	0	1	0	1
15258181	15258363	0	0	1	0	1
15258360	15258542	0	0	1	0	1
15258704	15258855	0	0	1	0	1
15259051	15259156	0	0	1	0	1
15259210	15260662	0	0	1	0	1
15260702	15260979	0	0	1	0	1
15260976	15261936	0	0	1	0	1
15261933	15262184	0	0	1	0	1
15262226	15262449	0	0	1	0	1
15262615	15262999	0	0	1	0	1
15262996	15263054	0	0	1	0	1
15263072	15263321	0	0	1	0	1
15263593	15263890	0	0	1	0	0
15263887	15263943	0	0	1	0	0
15263940	15264281	0	0	1	0	0
15264287	15264635	0	0	1	0	0
15264670	15264810	0	0	1	0	0
15264807	15265393	0	0	1	0	0
15265390	15266337	0	0	1	0	0
15266411	15266644	0	0	1	0	0
15266655	15267076	0	0	1	0	0
15267073	15267337	0	0	1	0	1
15267334	15267632	0	0	1	0	1
15267629	15268115	0	0	1	0	1
15268112	15268163	0	0	1	0	1
15268344	15268404	0	0	1	0	1
15268635	15268826	0	0	1	0	1
15268914	15269904	0	0	1	0	0
15269901	15270514	0	0	1	0	0
15270511	15270653	0	0	1	0	0
15270650	15271187	0	1	1	0	0
15271184	15271514	0	1	1	0	0
15271629	15273093	0	0	1	0	0
15273090	15274297	0	0	1	0	0
15274317	15274530	0	0	1	0	0
15274659	15274833	0	0	1	0	0
15274990	15275063	0	0	0	0	0
15275186	15275749	0	0	0	0	0
15275746	15276181	0	0	0	0	0
15276178	15276913	0	0	0	0	1
15276910	15277457	0	0	0	0	1
15277628	15277974	0	0	0	0	1
15277971	15278040	0	0	0	0	1
15278242	15278966	0	0	0	0	1
15278963	15279268	0	0	0	0	1
15279459	15280000	0	0	0	0	1
15280079	15281563	0	0	0	0	1
15281560	15282038	0	0	0	0	1
15282124	15282490	0	0	0	0	1
15282487	15282572	0	0	0	0	1
15282749	15282900	0	0	0	0	1
15282897	15284392	0	0	0	0	1
15284473	15284968	0	0	0	0	1
15284987	15285500	0	0	0	0	1
15285497	15285533	0	0	0	0	1
15285626	15285888	0	0	0	0	1
15286126	15286509	0	0	0	0	1
15286506	15287024	0	0	0	0	1
15287313	15287627	0	0	0	0	1
